target_date,generated_at,fixture_id,home_team,away_team,league,forecast_confidence,metric,actual_value,pred_low,pred_mid,pred_high,range_hit,abs_error_mid,direction_error,forecast_warning,source_guard,auto_apply,production_change
2026-05-27,2026-05-27T18:47:44+01:00,1535320,Flamengo,Cusco,CONMEBOL Libertadores,HIGH,total_goals,3.00,2.41,3.06,3.72,HIT,0.06,ON_RANGE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535320,Flamengo,Cusco,CONMEBOL Libertadores,HIGH,total_sot,16.00,8.00,10.00,13.00,MISS,6.00,UNDER_ESTIMATE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535320,Flamengo,Cusco,CONMEBOL Libertadores,HIGH,total_shots,31.00,23.00,28.00,33.00,HIT,3.00,ON_RANGE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535320,Flamengo,Cusco,CONMEBOL Libertadores,HIGH,total_corners,11.00,7.00,9.00,12.00,HIT,2.00,ON_RANGE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535320,Flamengo,Cusco,CONMEBOL Libertadores,HIGH,total_fouls,23.00,16.00,20.00,23.00,HIT,3.00,ON_RANGE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535329,Universitario,Deportes Tolima,CONMEBOL Libertadores,HIGH,total_goals,0.00,2.15,2.75,3.35,MISS,2.75,OVER_ESTIMATE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535329,Universitario,Deportes Tolima,CONMEBOL Libertadores,HIGH,total_sot,5.00,7.00,9.00,12.00,MISS,4.00,OVER_ESTIMATE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535329,Universitario,Deportes Tolima,CONMEBOL Libertadores,HIGH,total_shots,18.00,22.00,27.00,32.00,MISS,9.00,OVER_ESTIMATE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535329,Universitario,Deportes Tolima,CONMEBOL Libertadores,HIGH,total_corners,12.00,8.00,10.00,13.00,HIT,2.00,ON_RANGE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535329,Universitario,Deportes Tolima,CONMEBOL Libertadores,HIGH,total_fouls,32.00,19.00,24.00,28.00,MISS,8.00,UNDER_ESTIMATE,none,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,1535230,Santos,Deportivo Cuenca,CONMEBOL Sudamericana,HIGH,total_goals,3.00,1.84,2.38,2.91,MISS,0.62,UNDER_ESTIMATE,none,DATED_INPUT_ONLY,NO,NO
