target_date,generated_at,fixture_id,home_team,away_team,forecast_confidence,forecast_warning,actual_status,actual_home_goals,actual_away_goals,actual_total_goals,pred_home_goals_low,pred_home_goals_mid,pred_home_goals_high,home_goals_hit,home_goals_abs_error_mid,pred_away_goals_low,pred_away_goals_mid,pred_away_goals_high,away_goals_hit,away_goals_abs_error_mid,pred_total_goals_low,pred_total_goals_mid,pred_total_goals_high,total_goals_hit,total_goals_abs_error_mid,actual_home_sot,actual_away_sot,actual_total_sot,pred_total_sot_low,pred_total_sot_mid,pred_total_sot_high,total_sot_hit,total_sot_abs_error_mid,actual_home_corners,actual_away_corners,actual_total_corners,total_corners_hit,total_corners_abs_error_mid,actual_home_cards,actual_away_cards,actual_total_cards,total_cards_hit,total_cards_abs_error_mid,actual_home_fouls,actual_away_fouls,actual_total_fouls,total_fouls_hit,total_fouls_abs_error_mid,available_actual_metrics,range_hits,range_misses,forecast_grade,calibration_note,source_guard,auto_apply,production_change
2026-05-28,2026-05-28T12:58:02+01:00,1535228,River Plate,Blooming,MEDIUM,LINEUPS_INACTIVE,FT,3,0,3,1.25,1.81,2.37,MISS,1.19,0.60,0.94,1.27,MISS,0.94,2.05,2.75,3.45,HIT,0.25,9,1,10,7,10,14,HIT,0.00,8,0,8,HIT,2.00,1,1,2,MISS,5.00,19,11,30,MISS,9.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,3,4,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535316,Cerro Porteno,Sporting Cristal,MEDIUM,LINEUPS_INACTIVE,NS,,,,0.88,1.31,1.74,ACTUAL_UNAVAILABLE,,0.60,0.94,1.27,ACTUAL_UNAVAILABLE,,1.66,2.25,2.84,ACTUAL_UNAVAILABLE,,,,,5,7,10,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535317,Corinthians,Platense,MEDIUM,LINEUPS_INACTIVE,FT,0,2,2,0.84,1.25,1.67,MISS,1.25,0.42,0.69,0.96,MISS,1.31,1.41,1.94,2.46,HIT,0.06,5,5,10,7,10,13,HIT,0.00,5,4,9,HIT,1.00,2,2,4,HIT,0.00,5,14,19,HIT,6.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,5,2,B_RANGE_GOOD,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535220,RB Bragantino,Carabobo FC,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,FT,2,0,2,1.10,1.69,2.28,HIT,0.31,1.01,1.56,2.12,MISS,1.56,2.35,3.25,4.15,MISS,1.25,7,4,11,7,10,14,HIT,1.00,4,5,9,HIT,1.00,3,2,5,HIT,0.00,13,4,17,HIT,6.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,5,2,B_RANGE_GOOD,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535315,Bolívar,Independ. Rivadavia,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,FT,1,3,4,0.83,1.31,1.80,HIT,0.31,0.92,1.44,1.96,MISS,1.56,1.97,2.75,3.53,MISS,1.25,6,7,13,7,10,13,HIT,3.00,8,2,10,HIT,1.00,2,4,6,HIT,1.00,7,11,18,HIT,5.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,5,2,B_RANGE_GOOD,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535328,Penarol,Santa Fe,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,FT,0,1,1,0.61,1.00,1.39,MISS,1.00,1.01,1.56,2.12,MISS,0.56,1.83,2.56,3.30,MISS,1.56,4,3,7,6,9,12,HIT,2.00,9,2,11,MISS,5.00,2,2,4,HIT,2.00,9,21,30,HIT,4.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,3,4,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535321,Fluminense,Deportivo La Guaira,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,FT,3,1,4,0.65,1.06,1.47,MISS,1.94,0.79,1.25,1.71,HIT,0.25,1.63,2.31,2.99,MISS,1.69,3,3,6,6,9,12,HIT,3.00,2,1,3,MISS,5.00,,,,ACTUAL_UNAVAILABLE,,11,9,20,MISS,8.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_fouls,2,4,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1535327,Palmeiras,Junior,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,NS,,,,0.79,1.25,1.71,ACTUAL_UNAVAILABLE,,0.52,0.88,1.23,ACTUAL_UNAVAILABLE,,1.49,2.12,2.76,ACTUAL_UNAVAILABLE,,,,,5,8,10,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1533657,El Geish,Wadi Degla,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NS,,,,0.73,1.25,1.77,ACTUAL_UNAVAILABLE,,0.63,1.10,1.57,ACTUAL_UNAVAILABLE,,1.58,2.35,3.12,ACTUAL_UNAVAILABLE,,,,,5,8,11,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1533661,Ismaily SC,Pharco,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NS,,,,0.73,1.25,1.77,ACTUAL_UNAVAILABLE,,0.63,1.10,1.57,ACTUAL_UNAVAILABLE,,1.58,2.35,3.12,ACTUAL_UNAVAILABLE,,,,,5,8,11,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1533663,Petrojet,El Gouna FC,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NS,,,,0.73,1.25,1.77,ACTUAL_UNAVAILABLE,,0.63,1.10,1.57,ACTUAL_UNAVAILABLE,,1.58,2.35,3.12,ACTUAL_UNAVAILABLE,,,,,5,8,11,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T12:58:02+01:00,1545404,Casa Pia,Torreense,LOW,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NS,,,,0.27,0.56,0.86,ACTUAL_UNAVAILABLE,,0.94,1.56,2.18,ACTUAL_UNAVAILABLE,,1.42,2.12,2.83,ACTUAL_UNAVAILABLE,,,,,4,6,9,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
