target_date,generated_at,rank,fixture_id,home_team,away_team,forecast_confidence,forecast_warning,portfolio_status,context_level,market_hint,stat_profile,primary_stat_market,secondary_stat_market,execution_permission,stake_band,translation_score,translation_reason,kill_switch,source_guard,auto_apply,production_change
2026-05-31,2026-05-31T17:50:59+01:00,1,1392226,Leganes,Mirandes,MEDIUM,LINEUPS_INACTIVE,NO_PORTFOLIO_CONTEXT,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,HIGH_TEMPO | HIGH_SHOT_VOLUME | HIGH_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,STAT_WATCH_ONLY,NO_STAKE_OR_SYMBOLIC,53,stat_score=63; confidence=MEDIUM 71.6; portfolio=NO_PORTFOLIO_CONTEXT; statistical watch only; no portfolio/context confirmation,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T17:50:59+01:00,2,1392216,Zaragoza,Malaga,MEDIUM,LINEUPS_INACTIVE,NO_PORTFOLIO_CONTEXT,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,HIGH_TEMPO | HIGH_SHOT_VOLUME | HIGH_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,STAT_WATCH_ONLY,NO_STAKE_OR_SYMBOLIC,53,stat_score=63; confidence=MEDIUM 71.6; portfolio=NO_PORTFOLIO_CONTEXT; statistical watch only; no portfolio/context confirmation,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T17:50:59+01:00,3,1494192,Vasteras SK FK,IFK Goteborg,MEDIUM,LINEUPS_INACTIVE; AVAILABILITY_RISK,NO_PORTFOLIO_CONTEXT,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,HIGH_TEMPO | HIGH_SHOT_VOLUME | HIGH_CORNER_VOLUME | MEDIUM_CARD_RISK | BOTH_TEAMS_THREAT,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,STAT_WATCH_ONLY,NO_STAKE_OR_SYMBOLIC,37,stat_score=55; confidence=MEDIUM 66.6; portfolio=NO_PORTFOLIO_CONTEXT; statistical watch only; no portfolio/context confirmation,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T17:50:59+01:00,4,1392217,Cordoba,Huesca,MEDIUM,LINEUPS_INACTIVE,LIVE_ONLY_OR_SYMBOLIC,L7_SOFT_DOWN,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | HIGH_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,LIVE_ONLY,SYMBOLIC_ONLY,36,stat_score=52; confidence=MEDIUM 71.6; portfolio=LIVE_ONLY_OR_SYMBOLIC; lineups/context require live or prelock confirmation,NONE,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T17:50:59+01:00,5,1392219,Racing Santander,Cadiz,MEDIUM,LINEUPS_INACTIVE,NO_PORTFOLIO_CONTEXT,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,HIGH_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BALANCED_THREAT,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,STAT_WATCH_ONLY,NO_STAKE_OR_SYMBOLIC,32,stat_score=42; confidence=MEDIUM 71.6; portfolio=NO_PORTFOLIO_CONTEXT; statistical watch only; no portfolio/context confirmation,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T17:50:59+01:00,6,1392221,Castellón,Eibar,MEDIUM,LINEUPS_INACTIVE,NO_PORTFOLIO_CONTEXT,,OVER_OR_BTTS_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,STAT_WATCH_ONLY,NO_STAKE_OR_SYMBOLIC,31,stat_score=41; confidence=MEDIUM 71.6; portfolio=NO_PORTFOLIO_CONTEXT; statistical watch only; no portfolio/context confirmation,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T17:50:59+01:00,7,1494188,BK Hacken,Hammarby FF,MEDIUM,LINEUPS_INACTIVE; AVAILABILITY_RISK,NO_PORTFOLIO_CONTEXT,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,HIGH_TEMPO | HIGH_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_BET_OR_WATCH,NO_STAKE_OR_SYMBOLIC,21,stat_score=39; confidence=MEDIUM 66.6; portfolio=NO_PORTFOLIO_CONTEXT; no portfolio/context confirmation and score not strong enough,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T17:50:59+01:00,8,1494186,Degerfors IF,IF Brommapojkarna,MEDIUM,LINEUPS_INACTIVE,NO_PORTFOLIO_CONTEXT,,OVER_OR_BTTS_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_BET_OR_WATCH,NO_STAKE_OR_SYMBOLIC,18,stat_score=28; confidence=MEDIUM 71.6; portfolio=NO_PORTFOLIO_CONTEXT; no portfolio/context confirmation and score not strong enough,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T17:50:59+01:00,9,1396990,Burgos,FC Andorra,MEDIUM,LINEUPS_INACTIVE,NO_PORTFOLIO_CONTEXT,,OVER_OR_BTTS_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_BET_OR_WATCH,NO_STAKE_OR_SYMBOLIC,18,stat_score=28; confidence=MEDIUM 71.6; portfolio=NO_PORTFOLIO_CONTEXT; no portfolio/context confirmation and score not strong enough,NO_PORTFOLIO_CONTEXT,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T17:50:59+01:00,10,1492282,RB Bragantino,Internacional,MEDIUM,LINEUPS_INACTIVE; AVAILABILITY_RISK,LIVE_ONLY_OR_SYMBOLIC,L7_SOFT_DOWN,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,LIVE_ONLY,SYMBOLIC_ONLY,17,stat_score=41; confidence=MEDIUM 66.6; portfolio=LIVE_ONLY_OR_SYMBOLIC; lineups/context require live or prelock confirmation,NONE,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T17:50:59+01:00,11,1392220,Almeria,Valladolid,MEDIUM,LINEUPS_INACTIVE,LIVE_ONLY_OR_SYMBOLIC,L7_SOFT_DOWN,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,LIVE_ONLY,SYMBOLIC_ONLY,12,stat_score=28; confidence=MEDIUM 71.6; portfolio=LIVE_ONLY_OR_SYMBOLIC; lineups/context require live or prelock confirmation,NONE,DATED_INPUT_ONLY,NO,NO
