target_date,generated_at,issue_number,title,url,lifecycle_status,recommended_action,reason,auto_close,production_change,guardrail_status
2026-05-31,2026-05-31T11:00:09+01:00,116,vSIGMA DATA_QUALITY_REVIEW_REQUIRED 2026-05-31,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/116,KEEP_OPEN_CURRENT_CONSOLIDATED,KEEP_OPEN,Current consolidated learning alert for this date/category.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,115,vSIGMA OPERATIONAL_REVIEW_REQUIRED 2026-05-31,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/115,KEEP_OPEN_CURRENT_CONSOLIDATED,KEEP_OPEN,Current consolidated learning alert for this date/category.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,108,vSIGMA DATA_QUALITY_REVIEW_REQUIRED 2026-05-30,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/108,STALE_CONSOLIDATED_REVIEW,REVIEW_FOR_MANUAL_CLOSE,Consolidated alert from another date; keep unless a newer category issue supersedes it.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,107,vSIGMA OPERATIONAL_REVIEW_REQUIRED 2026-05-30,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/107,STALE_CONSOLIDATED_REVIEW,REVIEW_FOR_MANUAL_CLOSE,Consolidated alert from another date; keep unless a newer category issue supersedes it.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,101,vSIGMA OPERATIONAL_REVIEW_REQUIRED 2026-05-29,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/101,STALE_CONSOLIDATED_REVIEW,REVIEW_FOR_MANUAL_CLOSE,Consolidated alert from another date; keep unless a newer category issue supersedes it.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,100,vSIGMA DATA_QUALITY_REVIEW_REQUIRED 2026-05-29,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/100,STALE_CONSOLIDATED_REVIEW,REVIEW_FOR_MANUAL_CLOSE,Consolidated alert from another date; keep unless a newer category issue supersedes it.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,95,vSIGMA DATA_QUALITY_REVIEW_REQUIRED 2026-05-28,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/95,STALE_CONSOLIDATED_REVIEW,REVIEW_FOR_MANUAL_CLOSE,Consolidated alert from another date; keep unless a newer category issue supersedes it.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,94,vSIGMA OPERATIONAL_REVIEW_REQUIRED 2026-05-28,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/94,STALE_CONSOLIDATED_REVIEW,REVIEW_FOR_MANUAL_CLOSE,Consolidated alert from another date; keep unless a newer category issue supersedes it.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,90,vSIGMA DATA_QUALITY_REVIEW_REQUIRED 2026-05-27,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/90,STALE_CONSOLIDATED_REVIEW,REVIEW_FOR_MANUAL_CLOSE,Consolidated alert from another date; keep unless a newer category issue supersedes it.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,89,vSIGMA OPERATIONAL_REVIEW_REQUIRED 2026-05-27,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/89,STALE_CONSOLIDATED_REVIEW,REVIEW_FOR_MANUAL_CLOSE,Consolidated alert from another date; keep unless a newer category issue supersedes it.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,88,vSIGMA DATA_QUALITY_REVIEW_REQUIRED 2026-05-26,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/88,STALE_CONSOLIDATED_REVIEW,REVIEW_FOR_MANUAL_CLOSE,Consolidated alert from another date; keep unless a newer category issue supersedes it.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
2026-05-31,2026-05-31T11:00:09+01:00,87,vSIGMA OPERATIONAL_REVIEW_REQUIRED 2026-05-26,https://github.com/jorgemaganescobar94-lgtm/vsigma/issues/87,STALE_CONSOLIDATED_REVIEW,REVIEW_FOR_MANUAL_CLOSE,Consolidated alert from another date; keep unless a newer category issue supersedes it.,NO,NO,LIFECYCLE_REPORT_ONLY_NO_AUTO_CLOSE
