target_date,generated_at,fixture_id,home_team,away_team,league,quota_policy_decision,planned_mode,allowlist_status,allowlist_mode,quota_units_reserved,external_calls_executed,allowlist_reason,auto_apply,production_change
2026-06-02,2026-06-03T15:19:51+01:00,1542923,La Unión,Deportivo Cuenca,Copa Ecuador,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1521142,Ario Eslamshahr,Shahrdari Noshahr,Azadegan League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1521143,Fard Alborz,Mes Kerman,Azadegan League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1521144,Havadar,Navad Urmia,Azadegan League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1521146,Mes Shahr-e Babak,Sanat Naft,Azadegan League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1521141,Mes Soongoun,Niroye Zamini,Azadegan League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1521145,Naft Gachsaran,Be'sat Kermanshah,Azadegan League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1521147,Nassaji Mazandaran,Damash Gilanian,Azadegan League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1521148,Pars Jonoubi JAM,Naft Bandar Abbas,Azadegan League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1521149,Shenavarsazi Qeshm,Saipa,Azadegan League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
