target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,raw_trust_status,trust_reason,allowed_downstream_use,auto_apply,production_change
2026-06-04,2026-06-05T17:43:44+01:00,1540561,3. Division,Denmark,Sundby,Holbæk B&I,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1487455,3. liga - MSFL,Czech-Republic,Hlučín,Vsetín,2026-06-04T17:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1321353,Asian Cup - Qualification,World,Lebanon,Yemen,2026-06-04T17:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1545543,Botola Pro,Morocco,FAR Rabat,Difaa EL Jadida,2026-06-04T21:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1545542,Botola Pro,Morocco,Hassania Agadir,FUS Rabat,2026-06-04T19:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1540061,Copa Argentina,Argentina,San Lorenzo,Deportivo Riestra,2026-06-04T01:10:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1544583,Copa Gaúcha,Brazil,Bagé,Brasil DE Pelotas,2026-06-04T19:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1510595,Division 2 - Norra Götaland,Sweden,Stenungsund,Vänersborgs IF,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1510949,Division 2 - Södra Götaland,Sweden,Sölvesborg,Torns,2026-06-04T18:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1546540,Division Intermedia,Paraguay,Deportivo Santani,Resistencia,2026-06-04T22:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
