target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,adapter_status,allowed_downstream_use,review_priority,review_board_status,review_reason,manual_review_required,canonical_board_permission,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-08,2026-06-09T21:30:24+01:00,1548054,Almeria,Castellón,Segunda División,Spain,2026-06-09T19:00:00+00:00,2H,89,HIGH_SIGNAL_REVIEW,prediction_winner=Castellón | pred_total_home_away=38.5/61.5 | 1x2=2.28/3.50/2.90 | ou2.5=1.70/2.10,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1530592,Dainava,Garliava,1 Lyga,Lithuania,2026-06-08T16:00:00+00:00,FT,67,MEDIUM_SIGNAL_REVIEW,prediction_winner=Dainava | pred_total_home_away=54.0/46.0 | 1x2=2.05/3.45/2.95 | ou2.5=1.60/2.05,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1548327,FUS Rabat,Difaa EL Jadida,Botola Pro,Morocco,2026-06-08T16:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=FUS Rabat | pred_total_home_away=65.7/34.3 | 1x2=1.77/3.25/4.40 | ou2.5=2.20/1.62,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1548330,Olympique Dcheïra,Hassania Agadir,Botola Pro,Morocco,2026-06-08T20:00:00+00:00,FT,55,MEDIUM_SIGNAL_REVIEW,prediction_winner=Olympique Dcheïra | pred_total_home_away=49.8/50.2 | 1x2=3.20/2.85/2.33 | ou2.5=2.35/1.55,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1548328,Renaissance Berkane,Ittihad Tanger,Botola Pro,Morocco,2026-06-08T18:00:00+00:00,FT,90,HIGH_SIGNAL_REVIEW,prediction_winner=Renaissance Berkane | pred_total_home_away=61.8/38.2 | 1x2=1.65/3.30/5.20 | ou2.5=2.20/1.62,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1548329,Wydad AC,Olympique Safi,Botola Pro,Morocco,2026-06-08T18:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Wydad AC | pred_total_home_away=66.3/33.7 | 1x2=1.45/3.75/6.75 | ou2.5=1.93/1.80,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1550760,Uni Souza,Barcelona RJ,Carioca C,Brazil,2026-06-08T18:00:00+00:00,FT,61,MEDIUM_SIGNAL_REVIEW,prediction_winner=Uni Souza | pred_total_home_away=52.3/47.8 | 1x2=1.53/3.80/4.80 | ou2.5=1.55/2.15,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1544582,Monsoon,Santa Cruz RS,Copa Gaúcha,Brazil,2026-06-08T18:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Santa Cruz RS | pred_total_home_away=24.2/76.2 | 1x2=2.25/3.20/3.00 | ou2.5=2.15/1.65,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1546546,3 de Noviembre,General Caballero,Division Intermedia,Paraguay,2026-06-08T22:30:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=General Caballero | pred_total_home_away=33.3/66.8 | 1x2=3.20/3.10/2.05 | ou2.5=2.00/1.65,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1546545,Encarnación,SOL DE America,Division Intermedia,Paraguay,2026-06-08T20:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=SOL DE America | pred_total_home_away=25.7/74.3 | 1x2=2.62/3.00/2.50 | ou2.5=2.10/1.57,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1512933,Jeunes Fauves,Aigle Royal de Moungo,Elite One,Cameroon,2026-06-08T14:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Aigle Royal de Moungo | pred_total_home_away=28.3/71.8,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1512935,Panthère,Victoria United,Elite One,Cameroon,2026-06-07T14:30:00+00:00,FT,55,MEDIUM_SIGNAL_REVIEW,prediction_winner=Panthère | pred_total_home_away=60.0/40.0,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1547532,Foncha ST,Tonnerre,Elite Two,Cameroon,2026-06-08T14:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Tonnerre | pred_total_home_away=35.0/65.0,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1547533,Sable,Bafmeng United,Elite Two,Cameroon,2026-06-08T14:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Sable | pred_total_home_away=68.5/31.5,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
