target_date,generated_at,fixture_id,home_team,away_team,status,goals,stats_status,updated_fields,source_guard
2026-06-16,2026-06-16T01:11:49+01:00,1532448,Hartford Athletic W,New England Mutiny W,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1538395,Bolívar,Guabirá,PST,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1532205,Birmingham Legion W,Chattanooga Red Wolves W,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1547744,Dakota,Sporting,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1489378,Iran,New Zealand,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1525405,Real Colorado Foxes,Unión Villa Krause,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1532206,Flatirons II W,Colorado Storm W,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1524044,Rochedale Rovers,Moreton City Excelsior,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1524029,WDSC Wolves,Eastern Suburbs,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1524039,Gold Coast Knights,Lions,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1524151,Redlands United,SC Wanderers,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1541092,Mebrat Hayl,Mekelle Kenema,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1543580,Ugyen Academy,Thimphu,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1547544,Bafmeng United,Tonnerre,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1547545,Sable,Foncha ST,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1477248,Namungo,Tabora United,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1508054,Al Ahed,Al Hikma,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1508055,Shabab Al Sahel,Racing,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1508056,Tadamon Sour,Al Mabarrah,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1541093,Bahardar,Welayta Dicha,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1541094,Sheger Ketema,Welwalo Adigrat Uni,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1547543,FAP,Union Douala,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1547546,Yafoot,Bamboutos,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1515859,BFC Daugavpils,Super Nova,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1547575,TransINVEST Vilnius,FK Trakai,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1547576,Suduva Marijampole,Šiauliai,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1477245,Azam,Mashujaa,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1509143,Dila,Spaeri,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1513569,Vaprus,Flora Tallinn,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1513570,Kuressaare,Trans Narva,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-16,2026-06-16T01:11:49+01:00,1515860,Grobiņa,FK Liepaja,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
