target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,provider,refresh_status,refresh_note,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,result_ready_for_ledger,api_calls_planned,api_calls_executed,auto_apply,production_change
2026-06-19,2026-06-19T12:52:13+01:00,1524988,Texoma,West Texas,USL League Two,USA,2026-06-19T00:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,1,0,,,,,YES,58,1,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1489388,Mexico,South Korea,World Cup,World,2026-06-19T01:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,0,0,,,,,YES,58,2,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1524989,Flatirons Rush,Albion Colorado,USL League Two,USA,2026-06-19T01:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,3,0,3,0,1,,,,,YES,58,3,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1524990,Utah United,Unión Villa Krause,USL League Two,USA,2026-06-19T01:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,4,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1524984,Ballard,Bigfoot,USL League Two,USA,2026-06-19T02:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,6,1,6,1,5,1,,,,,YES,58,5,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1524987,Sportivo San Juan,San Francisco City,USL League Two,USA,2026-06-19T02:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,6,2,6,1,3,,,,,YES,58,6,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1522129,Langwarrin,Port Melbourne,Victoria NPL 2,Australia,2026-06-19T09:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,5,0,5,0,2,0,,,,,YES,58,7,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1522651,Bentleigh Greens,South Melbourne,Victoria NPL,Australia,2026-06-19T09:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,5,1,5,1,3,,,,,YES,58,8,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1524053,Gold Coast Knights,Magic United,Queensland NPL,Australia,2026-06-19T09:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,1,2,1,0,0,,,,,YES,58,9,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1541360,Box Hill,Kingston City,Victoria Premier League 2,Australia,2026-06-19T09:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,3,1,3,1,2,0,,,,,YES,58,10,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1541437,Eastern Lions,Springvale,Victoria Premier League 2,Australia,2026-06-19T09:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,0,0,0,0,0,,,,,YES,58,11,NO,NO
