target_date,generated_at,review_rank,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,review_status,review_priority,candidate_signal_score,candidate_signal_band,allowed_downstream_use,inspector_bucket,risk_label,inspector_reason,suggested_next_action,canonical_board_permission,pick_permission,stake_permission,auto_apply,production_change
2026-06-19,2026-06-19T12:52:13+01:00,1,1524988,USL League Two,USA,Texoma,West Texas,2026-06-19T00:00:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,61,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,2,1489388,World Cup,World,Mexico,South Korea,2026-06-19T01:00:00+00:00,API_ENRICHED_REVIEW_READY,P1_MANUAL_REVIEW,89,HIGH_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_REVIEW_STRONG_SIGNAL,MEDIUM,"Strong API-enriched review signal. Human review may inspect first, but no promotion is allowed.","Inspect manually first: verify source quality, competition quality, lineup context, and postmatch repeatability. No promotion.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,3,1524989,USL League Two,USA,Flatirons Rush,Albion Colorado,2026-06-19T01:30:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,70,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,4,1524990,USL League Two,USA,Utah United,Unión Villa Krause,2026-06-19T01:30:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,70,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,5,1524984,USL League Two,USA,Ballard,Bigfoot,2026-06-19T02:00:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,70,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,6,1524987,USL League Two,USA,Sportivo San Juan,San Francisco City,2026-06-19T02:00:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,70,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,7,1522129,Victoria NPL 2,Australia,Langwarrin,Port Melbourne,2026-06-19T09:30:00+00:00,API_ENRICHED_REVIEW_READY,P1_MANUAL_REVIEW,100,HIGH_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_REVIEW_STRONG_SIGNAL,MEDIUM,"Strong API-enriched review signal. Human review may inspect first, but no promotion is allowed.","Inspect manually first: verify source quality, competition quality, lineup context, and postmatch repeatability. No promotion.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,8,1522651,Victoria NPL,Australia,Bentleigh Greens,South Melbourne,2026-06-19T09:30:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,68,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,9,1524053,Queensland NPL,Australia,Gold Coast Knights,Magic United,2026-06-19T09:30:00+00:00,API_ENRICHED_REVIEW_READY,P1_MANUAL_REVIEW,100,HIGH_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_REVIEW_STRONG_SIGNAL,MEDIUM,"Strong API-enriched review signal. Human review may inspect first, but no promotion is allowed.","Inspect manually first: verify source quality, competition quality, lineup context, and postmatch repeatability. No promotion.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,10,1541360,Victoria Premier League 2,Australia,Box Hill,Kingston City,2026-06-19T09:30:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,70,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,11,1541437,Victoria Premier League 2,Australia,Eastern Lions,Springvale,2026-06-19T09:45:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,58,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,12,1522206,Victoria NPL 2,Australia,Brunswick Juventus FC,Bulleen Lions,2026-06-19T10:30:00+00:00,API_ENRICHED_REVIEW_READY,P1_MANUAL_REVIEW,80,HIGH_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_REVIEW_STRONG_SIGNAL,MEDIUM,"Strong API-enriched review signal. Human review may inspect first, but no promotion is allowed.","Inspect manually first: verify source quality, competition quality, lineup context, and postmatch repeatability. No promotion.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,13,1524158,Queensland Premier League,Australia,Caboolture,Brisbane Strikers,2026-06-19T10:30:00+00:00,API_ENRICHED_REVIEW_READY,P1_MANUAL_REVIEW,100,HIGH_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_REVIEW_STRONG_SIGNAL,MEDIUM,"Strong API-enriched review signal. Human review may inspect first, but no promotion is allowed.","Inspect manually first: verify source quality, competition quality, lineup context, and postmatch repeatability. No promotion.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,14,1524159,Queensland Premier League,Australia,Holland Park Hawks,St George Willawong,2026-06-19T10:30:00+00:00,API_ENRICHED_REVIEW_READY,P1_MANUAL_REVIEW,100,HIGH_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_REVIEW_STRONG_SIGNAL,MEDIUM,"Strong API-enriched review signal. Human review may inspect first, but no promotion is allowed.","Inspect manually first: verify source quality, competition quality, lineup context, and postmatch repeatability. No promotion.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,15,1541361,Victoria Premier League 2,Australia,Essendon Royals SC,Werribee City,2026-06-19T10:30:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,70,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,16,1532763,League Two,China,Guangzhou Dandelion,Hubei Chufeng Heli,2026-06-19T11:00:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,70,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,17,1532764,League Two,China,Shangyu Pterosaur,Guangdong Mingtu,2026-06-19T11:30:00+00:00,API_ENRICHED_REVIEW_READY,P2_MANUAL_REVIEW,55,MEDIUM_SIGNAL_REVIEW,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P3_REVIEW_LOW_SIGNAL,LOW,Low/medium review signal. Keep as low-priority manual inspection only.,Low-priority manual review. No operational change.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
