target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,promotion_input_status,promotion_permission,adapter_status,adapter_reason,allowed_downstream_use,promotion_candidate_type,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-19,2026-06-19T17:22:33+01:00,1522129,Langwarrin,Port Melbourne,Victoria NPL 2,Australia,2026-06-19T09:30:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Langwarrin | pred_total_home_away=66.8/33.2 | 1x2=1.33/4.80/6.00 | ou2.5=3.75/1.22,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1522651,Bentleigh Greens,South Melbourne,Victoria NPL,Australia,2026-06-19T09:30:00+00:00,FT,68,MEDIUM_SIGNAL_REVIEW,prediction_winner=South Melbourne | pred_total_home_away=45.4/54.6 | 1x2=3.85/3.70/1.75 | ou2.5=1.65/2.15,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1524053,Gold Coast Knights,Magic United,Queensland NPL,Australia,2026-06-19T09:30:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Gold Coast Knights | pred_total_home_away=73.5/26.5 | 1x2=1.18/6.50/9.50 | ou2.5=2.05/1.70,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1541360,Box Hill,Kingston City,Victoria Premier League 2,Australia,2026-06-19T09:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Box Hill | pred_total_home_away=69.3/30.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1541437,Eastern Lions,Springvale,Victoria Premier League 2,Australia,2026-06-19T09:45:00+00:00,FT,58,MEDIUM_SIGNAL_REVIEW,prediction_winner=Eastern Lions | pred_total_home_away=61.2/38.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1522206,Brunswick Juventus FC,Bulleen Lions,Victoria NPL 2,Australia,2026-06-19T10:30:00+00:00,FT,80,HIGH_SIGNAL_REVIEW,prediction_winner=Brunswick Juventus FC | pred_total_home_away=58.4/41.6 | 1x2=1.95/3.40/3.00 | ou2.5=5.00/1.14,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1524158,Caboolture,Brisbane Strikers,Queensland Premier League,Australia,2026-06-19T10:30:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Brisbane Strikers | pred_total_home_away=31.0/69.0 | 1x2=3.20/4.00/1.85 | ou2.5=2.38/1.53,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1524159,Holland Park Hawks,St George Willawong,Queensland Premier League,Australia,2026-06-19T10:30:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Holland Park Hawks | pred_total_home_away=78.0/22.0 | 1x2=1.65/4.20/3.90 | ou2.5=2.40/1.50,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1541361,Essendon Royals SC,Werribee City,Victoria Premier League 2,Australia,2026-06-19T10:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Essendon Royals SC | pred_total_home_away=69.6/30.4,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1532763,Guangzhou Dandelion,Hubei Chufeng Heli,League Two,China,2026-06-19T11:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Hubei Chufeng Heli | pred_total_home_away=44.8/55.2 | 1x2=1.85/3.00/4.00 | ou2.5=2.25/1.50,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1532764,Shangyu Pterosaur,Guangdong Mingtu,League Two,China,2026-06-19T11:30:00+00:00,FT,55,MEDIUM_SIGNAL_REVIEW,prediction_winner=Shangyu Pterosaur | pred_total_home_away=50.2/50.0 | 1x2=2.20/2.88/3.20 | ou2.5=2.30/1.48,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
