target_date,generated_at,component,path,observed_date,status,detail,auto_apply,production_change
2026-06-20,2026-06-20T01:18:38+01:00,daily_board_md,data/processed/today/2026-06-20/vsigma_daily_execution_board.md,MISSING,MISSING_CORE,required daily artifact is missing,NO,NO
2026-06-20,2026-06-20T01:18:38+01:00,daily_board_csv,data/processed/today/2026-06-20/vsigma_daily_execution_board.csv,MISSING,MISSING_CORE,required daily artifact is missing,NO,NO
2026-06-20,2026-06-20T01:18:38+01:00,operator_brief_md,data/processed/today/2026-06-20/vsigma_operator_brief.md,2026-06-20,OK,date coherent,NO,NO
2026-06-20,2026-06-20T01:18:38+01:00,automation_health_md,data/processed/today/2026-06-20/vsigma_automation_health.md,2026-06-20,OK,date coherent,NO,NO
2026-06-20,2026-06-20T01:18:38+01:00,prelock_live_recheck_md,data/processed/today/2026-06-20/vsigma_prelock_live_recheck.md,MISSING,MISSING_OPTIONAL,optional artifact not found,NO,NO
2026-06-20,2026-06-20T01:18:38+01:00,live_trigger_validator_md,data/processed/today/2026-06-20/vsigma_live_trigger_validator.md,2026-06-20,OK,date coherent,NO,NO
2026-06-20,2026-06-20T01:18:38+01:00,consolidated_panel_md,data/processed/today/2026-06-20/vsigma_consolidated_daily_operator_panel.md,MISSING,MISSING_OPTIONAL,optional artifact not found,NO,NO
2026-06-20,2026-06-20T01:18:38+01:00,source_reliability_governor_md,data/processed/today/2026-06-20/vsigma_probable_lineup_source_reliability_governor.md,MISSING,MISSING_OPTIONAL,optional artifact not found,NO,NO
2026-06-20,2026-06-20T01:18:38+01:00,daily_chain_trigger,.vsigma/triggers/daily_decision_chain_v2.trigger,2026-06-19,DATE_MISMATCH,observed 2026-06-19 != target 2026-06-20,NO,NO
2026-06-20,2026-06-20T01:18:38+01:00,prelock_recheck_trigger,.vsigma/triggers/prelock_official_lineup_recheck.trigger,2026-06-19,DATE_MISMATCH,observed 2026-06-19 != target 2026-06-20,NO,NO
