target_date,generated_at,fixture_id,home_team,away_team,league,country,api_league_id,api_season,fixture_date_utc,fixture_status,venue_name,home_team_id,away_team_id,downstream_use,executor_status,scoring_eligibility_after_execution,fixture_detail_available,predictions_available,odds_available,events_available,statistics_available,lineups_available,prediction_winner_name,prediction_advice,pred_home_total_pct,pred_away_total_pct,pred_home_form_pct,pred_away_form_pct,pred_home_att_pct,pred_away_att_pct,pred_home_def_pct,pred_away_def_pct,match_winner_home_odd,match_winner_draw_odd,match_winner_away_odd,over_1_5_odd,under_1_5_odd,over_2_5_odd,under_2_5_odd,over_3_5_odd,under_3_5_odd,market_signal_summary,scored_candidate_status,normal_gate_requirement,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-21,2026-06-21T16:35:51+01:00,1493547,Brooklyn,Tampa Bay Rowdies,USL Championship,USA,255,2026,2026-06-20T23:00:00+00:00,FT,Maimonides Park,27252,4021,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,NO,Tampa Bay Rowdies,Double chance : draw or Tampa Bay Rowdies,26.3,73.8,17,83,47,53,20,80,4.75,3.75,1.60,1.77,1.95,1.62,2.20,2.45,1.50,prediction_winner=Tampa Bay Rowdies | pred_total_home_away=26.3/73.8 | 1x2=4.75/3.75/1.60 | ou2.5=1.62/2.20,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493549,Hartford Athletic,Pittsburgh Riverhounds,USL Championship,USA,255,2026,2026-06-20T23:00:00+00:00,FT,Trinity Health Stadium,3995,4010,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,NO,Pittsburgh Riverhounds,Combo Double chance : draw or Pittsburgh Riverhounds and -3.5 goals,33.7,66.3,40,60,30,70,40,60,2.25,3.10,3.00,2.40,1.50,2.15,1.65,3.95,1.22,prediction_winner=Pittsburgh Riverhounds | pred_total_home_away=33.7/66.3 | 1x2=2.25/3.10/3.00 | ou2.5=2.15/1.65,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493554,Sporting JAX,Charleston Battery,USL Championship,USA,255,2026,2026-06-20T23:00:00+00:00,FT,Hodges Stadium,25959,3990,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,NO,Charleston Battery,Combo Double chance : draw or Charleston Battery and +1.5 goals,35.0,65.0,17,83,43,57,20,80,5.20,4.20,1.50,1.73,2.00,1.53,2.38,2.35,1.55,prediction_winner=Charleston Battery | pred_total_home_away=35.0/65.0 | 1x2=5.20/4.20/1.50 | ou2.5=1.53/2.38,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493869,Chattanooga Red Wolves,Naples,USL League One,USA,489,2026,2026-06-20T23:00:00+00:00,FT,CHI Memorial Stadium,9016,25485,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,YES,Chattanooga Red Wolves,Combo Double chance : Chattanooga Red Wolves or draw and +1.5 goals,67.8,32.2,75,25,68,32,65,35,1.67,3.55,4.60,2.05,1.70,1.85,1.85,3.20,1.30,prediction_winner=Chattanooga Red Wolves | pred_total_home_away=67.8/32.2 | 1x2=1.67/3.55/4.60 | ou2.5=1.85/1.85,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493872,Greenville Triumph,Alta,USL League One,USA,489,2026,2026-06-20T23:00:00+00:00,FT,Paladin Stadium,9026,25838,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,YES,Alta,Double chance : draw or Alta,33.8,66.2,24,76,17,83,17,83,1.85,3.50,3.55,1.85,1.85,1.70,2.05,2.70,1.42,prediction_winner=Alta | pred_total_home_away=33.8/66.2 | 1x2=1.85/3.50/3.55 | ou2.5=1.70/2.05,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493873,Richmond Kickers,Fort Wayne,USL League One,USA,489,2026,2026-06-20T23:00:00+00:00,FT,City Stadium,4024,16679,SCORING_ALLOWED_WITH_NORMAL_GATES,EXECUTED_WITH_DATA,YES_PENDING_NORMAL_GATES,YES,YES,YES,YES,NO,YES,Fort Wayne,Double chance : draw or Fort Wayne,40.3,59.8,36,64,50,50,29,71,2.62,3.40,2.35,2.00,1.73,1.77,1.95,2.95,1.36,prediction_winner=Fort Wayne | pred_total_home_away=40.3/59.8 | 1x2=2.62/3.40/2.35 | ou2.5=1.77/1.95,API_ENRICHED_SCORING_READY_PENDING_GATES,Requires normal scoring/promotion gates; no pick permission.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1525000,Buffalo,Pittsburgh Riverhounds 2,USL League Two,USA,256,2026,2026-06-20T23:00:00+00:00,FT,,17019,27521,COVERAGE_GATE_ONLY,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,COVERAGE_ONLY_NO_SCORING,Coverage-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1525002,Bigfoot,Tacoma Stars,USL League Two,USA,256,2026,2026-06-20T23:00:00+00:00,FT,,25953,23124,COVERAGE_GATE_ONLY,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,COVERAGE_ONLY_NO_SCORING,Coverage-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1525018,Cedar Stars Rush,Morris Elite,USL League Two,USA,256,2026,2026-06-20T23:00:00+00:00,FT,,4038,16682,COVERAGE_GATE_ONLY,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,COVERAGE_ONLY_NO_SCORING,Coverage-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1525020,Hickory,Wake,USL League Two,USA,256,2026,2026-06-20T23:00:00+00:00,FT,,23993,4097,COVERAGE_GATE_ONLY,EXECUTED_WITH_DATA,NO_COVERAGE_GATE_ONLY,YES,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,COVERAGE_ONLY_NO_SCORING,Coverage-only row cannot feed scoring.,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_SCORED_CANDIDATES_V1_NO_AUTO_APPLY,NO,NO
