target_date,generated_at,rank,fixture_id,home_team,away_team,forecast_confidence,forecast_warning,portfolio_status,context_level,market_hint,stat_profile,primary_stat_market,secondary_stat_market,execution_permission,stake_band,translation_score,translation_reason,kill_switch,source_guard,auto_apply,production_change
2026-06-21,2026-06-21T11:52:41+01:00,1,1520731,Avai,Cuiaba,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 55.6; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,2,1520733,CRB,Fortaleza EC,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 55.6; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,3,1520734,Goias,Operario-PR,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 55.6; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,4,1520737,São Bernardo,Juventude,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 55.6; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,5,1522831,Džiugas Telšiai,Suduva Marijampole,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 51.1; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,6,1526856,Barra,Amazonas,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 51.1; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,7,1526858,Brusque,Floresta,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 51.1; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,8,1526864,Caxias,Maringá,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 51.1; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,9,1526860,Ferroviária,Inter De Limeira,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 51.1; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,10,1526861,Ituano,Figueirense,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 51.1; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,11,1526862,Maranhão,Paysandu,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NO_PORTFOLIO_CONTEXT,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-42,stat_score=0; confidence=LOW 51.1; portfolio=NO_PORTFOLIO_CONTEXT; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
