target_date,generated_at,fixture_id,home_team,away_team,league,source_status,selector_status,reason,vsigma_priority,market_family_hint,data_quality_score,league_data_reliability_score,recent_stats_quality_flag,odds_bookmaker_support_count,auto_apply,production_change
2026-06-21,2026-06-21T11:52:40+01:00,1522831,Džiugas Telšiai,Suduva Marijampole,A Lyga,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-21,2026-06-21T11:52:40+01:00,1520731,Avai,Cuiaba,Serie B,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.95,NONE,,NO,NO
2026-06-21,2026-06-21T11:52:40+01:00,1520733,CRB,Fortaleza EC,Serie B,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.95,NONE,,NO,NO
2026-06-21,2026-06-21T11:52:40+01:00,1520734,Goias,Operario-PR,Serie B,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.95,NONE,,NO,NO
2026-06-21,2026-06-21T11:52:40+01:00,1520737,São Bernardo,Juventude,Serie B,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.95,NONE,,NO,NO
2026-06-21,2026-06-21T11:52:40+01:00,1526856,Barra,Amazonas,Serie C,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-21,2026-06-21T11:52:40+01:00,1526858,Brusque,Floresta,Serie C,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-21,2026-06-21T11:52:40+01:00,1526864,Caxias,Maringá,Serie C,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-21,2026-06-21T11:52:40+01:00,1526860,Ferroviária,Inter De Limeira,Serie C,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-21,2026-06-21T11:52:40+01:00,1526861,Ituano,Figueirense,Serie C,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-21,2026-06-21T11:52:40+01:00,1526862,Maranhão,Paysandu,Serie C,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
