target_date,generated_at,fixture_id,league,home_team,away_team,minutes_to_kickoff,league_coverage,recent_stats_coverage,lineup_coverage,probable_lineup_gate,injuries_coverage,standings_coverage,odds_coverage,context_coverage,forecast_coverage,coverage_score,missing_blocks,api_readiness_gate,execution_policy,operator_note,auto_apply,production_change
2026-06-27,2026-06-27T23:35:41+01:00,1520743,Serie B,Criciuma,São Bernardo,-1,FULL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,20.0,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1520749,Serie B,Operario-PR,America Mineiro,-1,FULL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,20.0,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1526869,Serie C,AO Itabaiana,Ferroviária,-1,PARTIAL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,15.0,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1526867,Serie C,Floresta,Barra,-1,PARTIAL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,15.0,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1526868,Serie C,Inter De Limeira,Maringá,-1,PARTIAL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,15.0,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1526871,Serie C,Paysandu,Santa Cruz,-1,PARTIAL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,15.0,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1495720,Veikkausliiga,AC Oulu,Lahti,-1,FULL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,20.0,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1495718,Veikkausliiga,Gnistan,VPS,-1,FULL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,20.0,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1495716,Veikkausliiga,HJK Helsinki,KuPS,-1,FULL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,20.0,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1495715,Veikkausliiga,Ilves,SJK,-1,FULL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,20.0,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1495717,Veikkausliiga,Mariehamn,Inter Turku,-1,FULL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,20.0,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
2026-06-27,2026-06-27T23:35:41+01:00,1495719,Veikkausliiga,Turku PS,FF Jaro,-1,FULL,NONE,NONE,NO_PROBABLE_LINEUP_SOURCES,NONE,NONE,NONE,FULL,FULL,20.0,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; official lineup dominates; probable XI can support early planning only; dated scored snapshot attempted before source lookup.,NO,NO
