target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,promotion_status,promotion_reason,source_path,allowed_downstream_use,auto_apply,production_change
2026-07-07,2026-07-07T20:18:25+01:00,1554361,UEFA Champions League,World,Ararat-Armenia,Riga,2026-07-07T17:00:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554362,UEFA Champions League,World,Borac Banja Luka,Levski Sofia,2026-07-07T19:30:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554364,UEFA Champions League,World,Floriana,Shamrock Rovers,2026-07-07T18:30:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554367,UEFA Champions League,World,KI Klaksvik,Atert Bissen,2026-07-07T19:45:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554366,UEFA Champions League,World,Kauno Žalgiris,Drita,2026-07-07T17:00:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554368,UEFA Champions League,World,Lincoln Red Imps FC,Inter Club d'Escaldes,2026-07-07T17:00:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554371,UEFA Champions League,World,Sabah FA,The New Saints,2026-07-07T17:00:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554372,UEFA Champions League,World,Tre Fiori,Larne,2026-07-07T19:30:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554373,UEFA Champions League,World,Vardar Skopje,KuPS,2026-07-07T18:00:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554374,UEFA Champions League,World,Vikingur Reykjavik,Gyori ETO FC,2026-07-07T20:00:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554389,UEFA Europa Conference League,World,AF Elbasani,Bate Borisov,2026-07-07T19:00:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-07-07,2026-07-07T20:18:25+01:00,1554410,UEFA Europa Conference League,World,UNA Strassen,La Fiorita,2026-07-07T18:15:00+01:00,PROMOTED_TO_SCORING_INPUT,trusted source has matching scored row without blocking data warnings,data/processed/matches_league_filtered.csv,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
