date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,league_coverage_class,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,league_tier,league_tier_rank,league_filter_reason,home_rank,away_rank,home_points,away_points,home_goals_diff,away_goals_diff,home_urgency_score,away_urgency_score,home_recent_opponent_strength_avg,away_recent_opponent_strength_avg,home_recent_schedule_difficulty_score,away_recent_schedule_difficulty_score,recent_schedule_balance_delta,home_recent_schedule_matches_used,away_recent_schedule_matches_used,home_recent_anomaly_count_last5,away_recent_anomaly_count_last5,home_recent_clean_sample_size,away_recent_clean_sample_size,home_recent_anomaly_penalty,away_recent_anomaly_penalty,home_recent_events_checked_last5,away_recent_events_checked_last5,odds_imp_over15,odds_imp_over25,odds_imp_under35,odds_imp_btts_yes,odds_imp_home_win,odds_imp_draw,odds_imp_away_win,odds_imp_home_dnb,odds_imp_away_dnb,odds_market_support_count,odds_bookmaker_support_count,odds_dispersion_score,odds_confidence_adjustment_score,home_recent_schedule_quality_flag,away_recent_schedule_quality_flag,recent_sample_cleanliness_flag,home_recent_event_coverage_flag,away_recent_event_coverage_flag,odds_structure_coherence_flag,odds_total_ladder_shape,odds_goal_expectation_band,odds_side_fragility_flag,odds_btts_support_flag,odds_over25_support_flag,odds_over15_support_flag,odds_under35_support_flag,odds_market_translation_hint,odds_line_aggression_flag,odds_structure_depth_status,league_coverage_uncertainty_penalty,league_stats_reliability_multiplier,league_quality_score,old_data_count,prior_data_count,standings_data_count,recent_stats_data_count,injuries_data_count,data_quality_score,data_warning,home_absences_num,away_absences_num,home_availability_unknown_penalty,away_availability_unknown_penalty,availability_uncertainty_penalty,availability_known_risk_score,availability_attack_penalty,lineup_score_nudge,home_recent_lab_trust_multiplier,away_recent_lab_trust_multiplier,recent_lab_context_score,attack_environment_score,recent_stats_process_score,home_goal_path_score,away_goal_path_score,home_rank_strength,away_rank_strength,team_edge_raw,team_edge_score,home_motivation_num,away_motivation_num,motivation_total_score,absences_noise_penalty,standings_context_score,vsigma_pre_score,vsigma_priority,market_family_hint,is_two_leg_tie,tie_context_status,tie_state_label,tie_home_delta,tie_away_delta,home_trailing_in_tie,away_trailing_in_tie,tie_level_before_second_leg,tie_adjustment_applied,tie_adjustment_note
2026-07-14,2026-07-14T18:00:00+01:00,1784048400,UEFA Champions League,2,2026,1554378,NS,Gyori ETO FC,2402,Vikingur Reykjavik,278,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-07-14T10:07:33.743673+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,6.0,8.0,1.333,2.625,1.5,3.0,2.333,1.125,0.833,0.875,0.167,0.25,0.667,0.625,1.0,1.0,0.833,0.875,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-07-14T10:07:37.242036+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-07-14T10:07:38.642623+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,412.33,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-07-14T10:07:39.966454+00:00,,2026-07-14T10:07:44.889563+00:00,1.72,4.42,4.5,1.57,2.5,1.17,5.5,1.57,2.48,2.45,1.58,,,,,,13.0,110.0,3154.0,0.5814,0.2262,0.2222,0.6369,0.4,0.8547,0.1818,0.6369,0.4032,0.4082,0.6329,,,,,,2026-07-14T10:07:46.308679+00:00,OK,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,30,8,16,0,2,0,18.5,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.65,0.0,11.94,18.0,0.0,0.0,-14.15,15.57,0.0,0.0,0.0,0.0,0.0,81.72,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0,0,0,0,
2026-07-14,2026-07-14T17:00:00+01:00,1784044800,UEFA Champions League,2,2026,1554380,NS,Inter Club d'Escaldes,3342,Lincoln Red Imps FC,667,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-07-14T10:07:33.743566+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,8.0,4.0,1.625,3.0,2.375,2.5,1.5,0.25,0.875,1.0,0.125,0.75,0.75,0.25,1.0,0.75,0.75,0.5,2025.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-07-14T10:07:37.247073+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-07-14T10:07:38.644835+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,352.33,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-07-14T10:07:40.365348+00:00,,2026-07-14T10:07:44.890123+00:00,1.76,4.33,4.4,1.47,2.8,1.13,6.5,1.44,2.88,2.1,1.78,,,,,,13.0,135.0,3269.0,0.5682,0.2309,0.2273,0.6803,0.3571,0.885,0.1538,0.6944,0.3472,0.4762,0.5618,,,,,,2026-07-14T10:07:46.703914+00:00,OK,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,30,8,16,0,2,0,18.5,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.92,0.0,11.51,17.64,0.0,0.0,-10.12,11.13,0.0,0.0,0.0,0.0,0.0,76.55,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0,0,0,0,
2026-07-14,2026-07-14T18:00:00+01:00,1784048400,UEFA Champions League,2,2026,1554384,NS,Riga,10124,Ararat-Armenia,3683,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-07-14T10:07:33.743678+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,8.0,8.0,2.75,1.5,2.5,1.375,0.25,0.875,0.875,0.625,0.75,0.25,0.25,0.5,0.875,0.625,0.625,0.25,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-07-14T10:07:37.267143+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-07-14T10:07:38.653421+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,412.3,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-07-14T10:07:41.964941+00:00,,2026-07-14T10:07:44.892311+00:00,1.75,3.9,4.95,1.87,2.0,1.27,3.8,1.85,2.05,3.1,1.4,,,,,,12.0,124.0,2779.0,0.5714,0.2564,0.202,0.5348,0.5,0.7874,0.2632,0.5405,0.4878,0.3226,0.7143,,,,,,2026-07-14T10:07:48.307311+00:00,OK,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,30,8,16,0,2,0,18.5,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.18,0.0,14.95,6.76,0.0,0.0,12.12,13.33,0.0,0.0,0.0,0.0,0.0,75.01,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0,0,0,0,
2026-07-14,2026-07-14T18:30:00+01:00,1784050200,UEFA Champions League,2,2026,1554387,NS,The New Saints,354,Sabah FA,13976,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-07-14T10:07:33.743714+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,8.0,3.0,2.25,0.667,1.625,1.0,1.0,2.0,0.75,1.0,0.25,0.0,0.5,1.0,0.875,1.0,0.625,0.333,2025.0,2026.0,PARTIAL_TEAM_LAST_8_ALL_COMPETITIONS,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-07-14T10:07:37.282101+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-07-14T10:07:38.659759+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,442.28,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-07-14T10:07:43.168932+00:00,,2026-07-14T10:07:44.893824+00:00,5.5,4.3,1.62,1.75,2.16,1.2,4.6,1.62,2.27,2.63,1.52,,,,,,13.0,110.0,3038.0,0.1818,0.2326,0.6173,0.5714,0.463,0.8333,0.2174,0.6173,0.4405,0.3802,0.6579,,,,,,2026-07-14T10:07:49.509308+00:00,OK,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,30,8,16,0,2,0,18.5,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.82,0.0,15.04,10.68,0.0,0.0,10.47,11.52,0.0,0.0,0.0,0.0,0.0,73.84,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0,0,0,0,
2026-07-14,2026-07-14T16:00:00+01:00,1784041200,UEFA Champions League,2,2026,1554381,NS,KuPS,1165,Vardar Skopje,574,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-07-14T10:07:33.743468+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,8.0,8.0,2.25,1.125,1.875,1.125,0.875,1.5,0.875,0.5,0.375,0.125,0.625,0.5,0.75,0.75,0.5,0.5,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-07-14T10:07:37.252214+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-07-14T10:07:38.646980+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,292.32,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-07-14T10:07:40.764539+00:00,,2026-07-14T10:07:44.890672+00:00,1.58,4.5,5.55,1.62,2.3,1.17,5.5,1.53,2.55,2.35,1.62,,,,,,13.0,110.0,3172.0,0.6329,0.2222,0.1802,0.6173,0.4348,0.8547,0.1818,0.6536,0.3922,0.4255,0.6173,,,,,,2026-07-14T10:07:47.100867+00:00,OK,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,30,8,16,0,2,0,18.5,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.61,0.0,14.82,7.95,0.0,0.0,10.19,11.21,0.0,0.0,0.0,0.0,0.0,72.32,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0,0,0,0,
2026-07-14,2026-07-14T17:00:00+01:00,1784044800,UEFA Champions League,2,2026,1554379,NS,Saburtalo,3502,Flora Tallinn,687,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-07-14T10:07:33.743561+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,8.0,8.0,1.75,2.25,1.375,2.125,1.125,0.875,1.0,1.0,0.375,0.5,0.625,0.5,0.625,0.875,0.5,0.875,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-07-14T10:07:37.272248+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-07-14T10:07:38.655558+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,352.29,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-07-14T10:07:42.363631+00:00,,2026-07-14T10:07:44.892821+00:00,1.58,4.6,5.75,1.67,2.25,1.17,5.5,1.57,2.47,2.4,1.57,,,,,,13.0,110.0,3078.0,0.6329,0.2174,0.1739,0.5988,0.4444,0.8547,0.1818,0.6369,0.4049,0.4167,0.6369,,,,,,2026-07-14T10:07:48.701821+00:00,OK,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,30,8,16,0,2,0,18.5,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.92,0.0,11.01,14.65,0.0,0.0,-5.64,6.2,0.0,0.0,0.0,0.0,0.0,69.62,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0,0,0,0,
2026-07-14,2026-07-14T18:30:00+01:00,1784050200,UEFA Champions League,2,2026,1554383,NS,Levski Sofia,646,Borac Banja Luka,3364,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-07-14T10:07:33.743709+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,8.0,5.0,2.125,2.0,2.75,2.6,0.625,0.8,0.875,1.0,0.5,0.6,0.5,0.4,0.875,0.8,0.75,0.4,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-07-14T10:07:37.262147+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-07-14T10:07:38.651310+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,442.31,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-07-14T10:07:41.566309+00:00,,2026-07-14T10:07:44.891757+00:00,1.35,5.11,11.9,2.64,1.5,1.35,3.46,2.13,1.8,3.9,1.29,,,,,,13.0,109.0,2940.0,0.7407,0.1957,0.084,0.3788,0.6667,0.7407,0.289,0.4695,0.5556,0.2564,0.7752,,,,,,2026-07-14T10:07:47.912008+00:00,OK,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,30,8,16,0,2,0,18.5,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.3,0.0,14.74,14.6,0.0,0.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,66.9,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0,0,0,0,
2026-07-14,2026-07-14T19:00:00+01:00,1784052000,UEFA Champions League,2,2026,1554376,NS,Drita,14281,Kauno Žalgiris,3872,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-07-14T10:07:33.743828+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,4.0,8.0,1.0,1.375,1.75,1.375,2.0,0.75,1.0,0.625,0.0,0.375,1.0,0.375,1.0,0.625,0.75,0.5,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-07-14T10:07:37.236959+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-07-14T10:07:38.640037+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,472.34,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-07-14T10:07:39.565746+00:00,,2026-07-14T10:07:44.888427+00:00,2.43,3.3,3.1,1.85,1.95,1.4,3.1,2.18,1.72,4.1,1.36,,,,,,13.0,106.0,2840.0,0.4115,0.303,0.3226,0.5405,0.5128,0.7143,0.3226,0.4587,0.5814,0.2439,0.7353,,,,,,2026-07-14T10:07:45.918509+00:00,OK,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,30,8,16,0,2,0,18.5,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.13,0.0,12.29,13.54,0.0,0.0,-2.75,3.03,0.0,0.0,0.0,0.0,0.0,65.66,B_ANALIZAR,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0,0,0,0,
2026-07-14,2026-07-14T20:00:00+01:00,1784055600,UEFA Champions League,2,2026,1554385,NS,Shamrock Rovers,652,Floriana,4625,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-07-14T10:07:33.744147+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,8.0,8.0,2.375,2.125,1.625,1.5,0.75,1.0,1.0,0.875,0.375,0.5,0.625,0.5,0.75,0.625,0.5,0.5,2026.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-07-14T10:07:37.277183+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-07-14T10:07:38.657670+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,532.29,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-07-14T10:07:42.767729+00:00,,2026-07-14T10:07:44.893342+00:00,1.33,5.5,10.5,2.2,1.75,1.22,4.5,1.73,2.16,2.88,1.44,,,,,,13.0,108.0,2989.0,0.7519,0.1818,0.0952,0.4545,0.5714,0.8197,0.2222,0.578,0.463,0.3472,0.6944,,,,,,2026-07-14T10:07:49.111323+00:00,OK,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,30,8,16,0,2,0,18.5,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.39,0.0,12.24,10.79,0.0,0.0,2.26,2.49,0.0,0.0,0.0,0.0,0.0,64.38,B_ANALIZAR,OVER_OR_BTTS_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0,0,0,0,
2026-07-14,2026-07-14T20:00:00+01:00,1784055600,UEFA Europa Conference League,848,2026,1554425,NS,La Fiorita,2249,UNA Strassen,2036,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-07-14T10:07:33.744152+00:00,COVERAGE_PARTIAL,1.0,0.0,0.0,1.0,1.0,0,0.7,OFFICIAL_API,,8.0,8.0,2.0,1.875,1.75,1.125,1.125,0.375,1.0,0.75,0.25,0.75,0.75,0.25,0.75,0.5,0.625,0.25,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,NONE,2026-07-14T10:07:37.286960+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-07-14T10:07:38.661851+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,532.27,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-07-14T10:07:43.568094+00:00,,2026-07-14T10:07:44.894326+00:00,6.75,4.2,1.52,2.1,1.73,1.33,3.4,1.99,1.85,3.5,1.3,,,,,,13.0,109.0,2779.0,0.1481,0.2381,0.6579,0.4762,0.578,0.7519,0.2941,0.5025,0.5405,0.2857,0.7692,,,,,,2026-07-14T10:07:49.902657+00:00,OK,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.0,30,8,16,0,2,0,18.5,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.2,0.0,10.3,10.21,0.0,0.0,0.84,0.92,0.0,0.0,0.0,0.0,0.0,61.62,B_ANALIZAR,OVER_OR_BTTS_CHECK,1.0,NO_FIRST_LEG_FOUND,,,,0,0,0,0,
