target_date,generated_at,fixture_id,league,country,home_team,away_team,team_side,source_name,source_url,probable_xi,input_file,import_status,import_reason,quality_score,quality_notes,auto_apply,production_change
2026-07-29,2026-07-29T19:32:43+01:00,1494711,,,KFUM Oslo,Molde,home,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/kfum-vs-molde-prediction-team-news-lineups_601771.html,odegaard;saunes;skaret;schneider;sjokvist;rasch;soras;hjorth;vinge;grodem;njie,data/processed/today/2026-07-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,"fuzzy_official_overlap=8/11;promotion_gate=8/11;matches=saunes~eirik franke saunes:0.96,skaret~brage skaret:0.96,schneider~daniel schneider:0.96,rasch~robin rasch:0.96,soras~tore andre soras:0.96",NO,NO
2026-07-29,2026-07-29T19:32:43+01:00,1492307,,,Remo,Vitoria,home,sportsmole,https://www.sportsmole.co.uk/football/remo/preview/remo-vs-vitoria-prediction-team-news-lineups_601845.html,rangel;marcelinho;ze ivaldo;felipe;mayk;ze welison;patrick;ze ricardo;pikachu;jaja;manga,data/processed/today/2026-07-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,"fuzzy_official_overlap=10/11;promotion_gate=8/11;matches=marcelinho~marcelinho:1.00,ze ivaldo~zé ivaldo:1.00,mayk~mayk:1.00,ze welison~zé welison:1.00,ze ricardo~zé ricardo:1.00",NO,NO
2026-07-29,2026-07-29T19:32:43+01:00,1492307,,,Remo,Vitoria,away,sportsmole,https://www.sportsmole.co.uk/football/remo/preview/remo-vs-vitoria-prediction-team-news-lineups_601845.html,arcanjo;jamerson;caca;candido;ramon;baralhas;ze vitor;pochettino;erick;matheuzinho;kayzer,data/processed/today/2026-07-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,"fuzzy_official_overlap=8/11;promotion_gate=8/11;matches=jamerson~jamerson:1.00,caca~cacá:1.00,ramon~ramon:1.00,ze vitor~zé vitor:1.00,erick~erick:1.00",NO,NO
2026-07-29,2026-07-29T19:32:43+01:00,1492307,,,Remo,Vitoria,away,sportsmole,https://www.sportsmole.co.uk/football/vitoria/preview/vitoria-vs-palmeiras-prediction-team-news-lineups_602011.html,arcanjo;jamerson;caca;luan candido;ramon;martinez;gabriel baralhas;ze vitor;erick;tarzia;rene,data/processed/today/2026-07-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,"fuzzy_official_overlap=10/11;promotion_gate=8/11;matches=jamerson~jamerson:1.00,caca~cacá:1.00,luan candido~luan cândido:1.00,ramon~ramon:1.00,gabriel baralhas~gabriel baralhas:1.00",NO,NO
2026-07-29,2026-07-29T19:32:43+01:00,1492307,,,Remo,Vitoria,home,sportsmole,https://www.sportsmole.co.uk/football/mirassol/preview/mirassol-vs-remo-prediction-team-news-lineups_602018.html,marcelo rangel;marcelo rodrigues;marllon borges;ze ivaldo;mayk;ze welison;leonel picco;ze ricardo;yago pikachu;jaja;alef manga,data/processed/today/2026-07-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,"fuzzy_official_overlap=9/11;promotion_gate=8/11;matches=marcelo rangel~marcelo rangel:1.00,ze ivaldo~zé ivaldo:1.00,mayk~mayk:1.00,ze welison~zé welison:1.00,leonel picco~leonel picco:1.00",NO,NO
2026-07-29,2026-07-29T19:32:43+01:00,1494709,,,Aalesund,Viking,away,sportsmole,https://www.sportsmole.co.uk/football/aalesund/preview/aalesund-vs-viking-fk-prediction-team-news-lineups_601783.html,belko;bjorshol;stensness;baertelsen;haugen;askildsen;bell;kvia-egeskog;fuglestad;christiansen;austbo,data/processed/today/2026-07-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,"fuzzy_official_overlap=8/11;promotion_gate=8/11;matches=belko~ubomír belko:0.96,stensness~gianni stensness:0.96,baertelsen~anders baertelsen:0.96,askildsen~kristoffer askildsen:0.96,bell~joe bell:0.96",NO,NO
2026-07-29,2026-07-29T19:32:43+01:00,1494711,,,KFUM Oslo,Molde,home,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/kfum-vs-molde-prediction-team-news-lineups_601771.html,odegaard;saunes;skaret;schneider;sjokvist;rasch;soras;hjorth;vinge;grodem;njie,data/processed/governance/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,"fuzzy_official_overlap=8/11;promotion_gate=8/11;matches=saunes~eirik franke saunes:0.96,skaret~brage skaret:0.96,schneider~daniel schneider:0.96,rasch~robin rasch:0.96,soras~tore andre soras:0.96",NO,NO
2026-07-29,2026-07-29T19:32:43+01:00,1492307,,,Remo,Vitoria,home,sportsmole,https://www.sportsmole.co.uk/football/remo/preview/remo-vs-vitoria-prediction-team-news-lineups_601845.html,rangel;marcelinho;ze ivaldo;felipe;mayk;ze welison;patrick;ze ricardo;pikachu;jaja;manga,data/processed/governance/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,"fuzzy_official_overlap=10/11;promotion_gate=8/11;matches=marcelinho~marcelinho:1.00,ze ivaldo~zé ivaldo:1.00,mayk~mayk:1.00,ze welison~zé welison:1.00,ze ricardo~zé ricardo:1.00",NO,NO
2026-07-29,2026-07-29T19:32:43+01:00,1492307,,,Remo,Vitoria,away,sportsmole,https://www.sportsmole.co.uk/football/remo/preview/remo-vs-vitoria-prediction-team-news-lineups_601845.html,arcanjo;jamerson;caca;candido;ramon;baralhas;ze vitor;pochettino;erick;matheuzinho;kayzer,data/processed/governance/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,"fuzzy_official_overlap=8/11;promotion_gate=8/11;matches=jamerson~jamerson:1.00,caca~cacá:1.00,ramon~ramon:1.00,ze vitor~zé vitor:1.00,erick~erick:1.00",NO,NO
2026-07-29,2026-07-29T19:32:43+01:00,1492307,,,Remo,Vitoria,away,sportsmole,https://www.sportsmole.co.uk/football/vitoria/preview/vitoria-vs-palmeiras-prediction-team-news-lineups_602011.html,arcanjo;jamerson;caca;luan candido;ramon;martinez;gabriel baralhas;ze vitor;erick;tarzia;rene,data/processed/governance/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,"fuzzy_official_overlap=10/11;promotion_gate=8/11;matches=jamerson~jamerson:1.00,caca~cacá:1.00,luan candido~luan cândido:1.00,ramon~ramon:1.00,gabriel baralhas~gabriel baralhas:1.00",NO,NO
