target_date,generated_at,queue_rank,fixture_id,home_team,away_team,league,gap_status,scoring_needed,priority,reason,recommended_fix,auto_apply,production_change
2026-08-10,2026-08-10T21:07:52+01:00,1,1556628,Dundee Utd,Rangers,Premiership,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,2,1556412,Žalgiris II,Kauno Žalgiris II,1 Lyga,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,3,1534540,Gomel II,Shakhter Soligorsk,1. Division,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,4,1534396,Minsk II,Ostrovets FC,1. Division,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,5,1495905,Moss,ODD Ballklubb,1. Division,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,6,1534398,Orsha,Molodechno-DYuSSh 4,1. Division,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,7,1534394,Slonim,Bumprom,1. Division,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,8,1534400,Smorgon,BATE II,1. Division,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,9,1534401,Volna,Uni Minsk,1. Division,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,10,1557988,Mura,Radomlje,1. SNL,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,11,1543450,Vikingur Olafsiik,Selfoss,2. Deild,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,12,1561089,Považská Bystrica,Zlaté Moravce,2. liga,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,13,1496478,Bærum,KFUM II,3. Division - Girone 1,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,14,1496659,Aalesund II,Herd,3. Division - Girone 2,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,15,1496663,Rosenborg II,Ranheim II,3. Division - Girone 2,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,16,1496842,Askøy,Sogndal II,3. Division - Girone 3,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,17,1496841,Åsane II,Austevoll,3. Division - Girone 3,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,18,1497024,Haugesund II,Viking II,3. Division - Girone 4,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,19,1497208,Kongsvinger II,Strømsgodset II,3. Division - Girone 5,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,20,1497210,Skjetten,Lillestrøm II,3. Division - Girone 5,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,21,1497388,Drøbak / Frogn,Sandefjord II,3. Division - Girone 6,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,22,1497390,Lyn II,Fram,3. Division - Girone 6,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,23,1546095,Marília,Bandeirante SP,Copa Paulista,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,24,1549122,Al Sahel,Shamiya,Division 1,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,25,1549124,Khaitan,Al Jazira,Division 1,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,26,1612420,Atlético Tembetary,General Caballero,Division Intermedia,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,27,1612419,Tacuary,Guairena FC,Division Intermedia,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,28,1610935,Libertad Asuncion,Sportivo Trinidense,Division Profesional - Clausura,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,29,1519611,Flora II,Nõmme Kalju II,Esiliiga A,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,30,1602969,Andranik,Shirak II,First League,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,31,1602971,Banants II,Noah II,First League,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,32,1551068,Botev Plovdiv,Spartak Varna,First League,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,33,1551069,Botev Vratsa,Slavia Sofia,First League,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,34,1602970,Mika,Pyunik II,First League,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,35,1558173,Unia Skierniewice,Arka Gdynia,I Liga,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,36,1567409,Plymouth,Exeter City,League Cup,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,37,1565207,CFR 1907 Cluj,Universitatea Cluj,Liga I,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,38,1565210,FC Botosani,Corvinul Hunedoara,Liga I,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,39,1565212,Sepsi OSK Sfantu Gheorghe,FCSB,Liga I,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,40,1519446,Libertad,Universidad Catolica,Liga Pro,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,41,1519447,Tecnico Universitario,Mushuc Runa SC,Liga Pro,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,42,1493049,Banfield,Belgrano Cordoba,Liga Profesional Argentina,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,43,1506509,KI Klaksvik,HB Torshavn,Meistaradeildin,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,44,1506511,NSI Runavik,Skála,Meistaradeildin,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,45,1595902,Carshalton Athletic,Wingate & Finchley,Non League Premier - Isthmian,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,46,1581491,Alashkert,BKMA,Premier League,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,47,1561348,Fakel,Akhmat,Premier League,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,48,1565445,Karpaty,LNZ Cherkasy,Premier League,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,49,1565447,Polessya,FC Kharkiv,Premier League,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,50,1549713,Águilas Doradas,Llaneros,Primera A,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,51,1549594,Tigres FC,Envigado,Primera B,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,52,1500039,Fénix,Central Ballester,Primera C,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,53,1500184,Leones de Rosario,Deportivo Muñiz,Primera C,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,54,1500043,Sacachispas,Deportivo Paraguayo,Primera C,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,55,1500044,Sportivo Barracas,Claypole,Primera C,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,56,1612527,Caracas FC,Deportivo La Guaira,Primera División,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,57,1611278,Deportivo Maldonado,Racing Montevideo,Primera División,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,58,1612526,Rayo Zuliano,Estudiantes de Merida FC,Primera División,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,59,1498704,All Boys,Central Norte,Primera Nacional,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,60,1498713,Gimnasia Jujuy,Tristan Suarez,Primera Nacional,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,61,1530985,Lochin,Qiziriq,Pro League A,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,62,1531077,Metalourg,Yaypan,Pro League A,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
2026-08-10,2026-08-10T21:07:52+01:00,63,1530986,Olimpik-Mobiuz,Shortan,Pro League A,MISSING_SCORED_ROW,YES,P1_TRUSTED_MISSING_SCORING,trusted raw candidate has no matching scored row,Run/repair scoring enrichment over trusted raw fixture candidates before market translation.,NO,NO
