shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,execution_fragility_reason,execution_market_fit_status,execution_market_fit_note,execution_preferred_safer_market,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,projected_home_goals,projected_away_goals,projected_total_goals,league_coverage_class,league_data_reliability_score,league_coverage_rich_flag,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_stats_reliability_multiplier,league_coverage_uncertainty_penalty,league_coverage_source_status,league_coverage_note,recent_stats_quality_flag,recent_stats_process_score,recent_lab_context_score,home_recent_lab_trust_multiplier,away_recent_lab_trust_multiplier,home_recent_opponent_strength_avg,away_recent_opponent_strength_avg,home_recent_schedule_difficulty_score,away_recent_schedule_difficulty_score,home_recent_schedule_quality_flag,away_recent_schedule_quality_flag,recent_schedule_balance_delta,home_recent_anomaly_count_last5,away_recent_anomaly_count_last5,home_recent_clean_sample_size,away_recent_clean_sample_size,home_recent_anomaly_penalty,away_recent_anomaly_penalty,home_recent_event_coverage_flag,away_recent_event_coverage_flag,recent_sample_cleanliness_flag,odds_imp_over15,odds_imp_over25,odds_imp_under35,odds_imp_btts_yes,odds_imp_home_win,odds_imp_draw,odds_imp_away_win,odds_imp_home_dnb,odds_imp_away_dnb,odds_market_support_count,odds_bookmaker_support_count,odds_dispersion_score,odds_structure_coherence_flag,odds_total_ladder_shape,odds_goal_expectation_band,odds_side_fragility_flag,odds_btts_support_flag,odds_over25_support_flag,odds_over15_support_flag,odds_under35_support_flag,odds_market_translation_hint,odds_line_aggression_flag,odds_confidence_adjustment_score,odds_structure_depth_status,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_injuries_count,away_injuries_count,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,vsigma_priority,market_family_hint,tie_state_label,tie_adjustment_note,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,final_execution_bucket,final_execution_reason,final_execution_bucket_order
1,TOP_CORE,TOP_CORE,2026-08-13,World,UEFA Europa Conference League,1607610,Gyori ETO FC,Riga,84.6,79.45,MEDIUM_HIGH,1-2 / 1-3 / 2-2,OVER_1_5,AWAY_DNB,NO_ODDS,TOP_CORE,MODEL_ONLY,TOP_CORE,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8874,,,,0.7452,,,,0.98,2.77,3.75,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,554.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.98 | visitante 2.77,"Market edge primario: prob 0.887 | sin cuota útil, fallback modelo",Bias lado: -2.88 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,1.333,2.75,1.5,2.5,2.333,0.25,0.833,0.875,0.167,0.75,0.667,0.25,1.0,0.875,0.833,0.625,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
2,TOP_CORE,TOP_CORE,2026-08-13,World,UEFA Europa League,1607184,Vikingur Reykjavik,FC Thun,82.8,77.65,MEDIUM_HIGH,2-1 / 3-1 / 2-2,OVER_1_5,HOME_DNB,NO_ODDS,TOP_CORE,MODEL_ONLY,TOP_CORE,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.9246,,,,0.6175,,,,2.7,1.55,4.25,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,494.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.70 | visitante 1.55,"Market edge primario: prob 0.925 | sin cuota útil, fallback modelo",Bias lado: +2.00 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,2.625,1.25,3.0,1.75,1.125,1.5,0.875,0.75,0.25,0.0,0.625,0.75,1.0,0.75,0.875,0.75,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
3,CORE_SHORTLIST,CORE,2026-08-13,World,UEFA Europa Conference League,1605373,Drita,Tre Fiori,76.2,72.05,MEDIUM_HIGH,1-2 / 1-3 / 2-2,OVER_1_5,AWAY_DNB,NO_ODDS,CORE_SHORTLIST,MODEL_ONLY,CORE_SHORTLIST,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8563,,,,0.555,,,,1.32,2.11,3.43,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,524.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.32 | visitante 2.11,"Market edge primario: prob 0.856 | sin cuota útil, fallback modelo",Bias lado: -1.39 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,1.0,2.125,1.75,1.75,2.0,0.625,1.0,0.875,0.0,0.625,1.0,0.375,1.0,0.625,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
4,CORE_SHORTLIST,CORE,2026-08-13,World,UEFA Europa Conference League,1607614,Flora Tallinn,Inter Club d'Escaldes,74.29,69.14,MEDIUM_HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,NO_ODDS,CORE_SHORTLIST,MODEL_ONLY,CORE_SHORTLIST,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.9111,,,,0.7671,,,,2.18,1.86,4.04,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,404.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.18 | visitante 1.86,"Market edge primario: prob 0.911 | sin cuota útil, fallback modelo",Bias lado: +0.63 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,2.25,1.625,2.125,2.375,0.875,1.5,1.0,0.875,0.5,0.125,0.5,0.75,0.875,1.0,0.875,0.75,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
5,CORE_SHORTLIST,CORE,2026-08-13,World,UEFA Europa Conference League,1607616,ML Vitebsk,Borac Banja Luka,72.47,68.32,MEDIUM,1-2 / 1-3 / 2-2,OVER_1_5,OVER_2_5,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.9236,,,,0.7929,,,,1.88,2.35,4.23,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,464.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.88 | visitante 2.35,"Market edge primario: prob 0.924 | sin cuota útil, fallback modelo",Bias lado: -0.65 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,2.125,2.0,2.375,2.6,1.375,0.8,0.875,1.0,0.25,0.6,0.75,0.4,0.875,0.8,0.875,0.4,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
6,WATCHLIST,WATCH,2026-08-13,World,UEFA Europa League,1606353,Egnatia Rrogozhinë,Shamrock Rovers,72.42,67.27,MEDIUM,1-2 / 1-3 / 2-2,OVER_1_5,UNDER_3_5,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8326,,,,0.5963,,,,1.41,1.82,3.23,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,584.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.41 | visitante 1.82,"Market edge primario: prob 0.833 | sin cuota útil, fallback modelo",Bias lado: -0.83 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,1.5,2.375,1.75,1.625,1.375,0.75,0.75,1.0,0.375,0.375,0.375,0.625,1.0,0.75,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
7,WATCHLIST,WATCH,2026-08-13,World,UEFA Europa League,1607183,Universitatea Craiova,KuPS,71.23,67.08,MEDIUM,1-2 / 1-3 / 2-2,OVER_1_5,OVER_2_5,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8933,,,,0.7322,,,,1.73,2.08,3.81,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,464.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.73 | visitante 2.08,"Market edge primario: prob 0.893 | sin cuota útil, fallback modelo",Bias lado: -0.60 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,1.75,2.25,2.0,1.875,1.75,0.875,1.0,0.875,0.25,0.375,0.75,0.625,0.75,0.75,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
8,WATCHLIST,WATCH,2026-08-13,World,UEFA Europa League,1607570,Heart Of Midlothian,Benfica,68.17,64.72,MEDIUM,2-2 / 2-1 / 1-2,OVER_1_5,OVER_2_5,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8608,,,,0.6732,,,,1.57,1.9,3.47,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,569.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,B_ANALIZAR,OVER_OR_BTTS_CHECK,,,Proj goles: local 1.57 | visitante 1.90,"Market edge primario: prob 0.861 | sin cuota útil, fallback modelo",Bias lado: -0.45 | tie=nan | hint=OVER_OR_BTTS_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,2.375,2.25,1.5,2.25,0.75,1.0,0.875,1.0,0.375,0.25,0.5,0.75,0.5,1.0,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
9,WATCHLIST,WATCH,2026-08-13,World,UEFA Europa Conference League,1607608,Gent,IFK Goteborg,65.97,62.32,MEDIUM,2-1 / 1-0 / 2-0,UNDER_3_5,OVER_1_5,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7725,,,,0.698,,,,1.42,1.01,2.43,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,554.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,B_ANALIZAR,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.42 | visitante 1.01,"Market edge primario: prob 0.772 | sin cuota útil, fallback modelo",Bias lado: +0.64 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,1.125,0.875,0.875,1.125,1.0,2.25,0.5,0.625,0.375,0.0,0.375,0.625,0.625,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
10,WATCHLIST,WATCH,2026-08-13,World,CONMEBOL Sudamericana,1606076,Santos,Macara,60.43,57.48,LOW,1-1 / 2-1 / 1-2,OVER_1_5,UNDER_3_5,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7821,,,,0.6743,,,,1.3,1.58,2.88,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,764.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,B_ANALIZAR,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.30 | visitante 1.58,"Market edge primario: prob 0.782 | sin cuota útil, fallback modelo",Bias lado: -0.52 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,1.125,1.625,1.125,1.625,1.125,1.375,0.875,0.875,0.25,0.375,0.75,0.5,0.75,0.875,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
11,WATCHLIST,WATCH,2026-08-13,World,CONMEBOL Sudamericana,1607199,Vasco DA Gama,Olimpia,59.27,56.52,LOW,2-2 / 2-1 / 1-2,OVER_1_5,OVER_2_5,NO_ODDS,WATCH,MODEL_ONLY,WATCH,MODEL_ONLY,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8138,,,,0.5965,,,,1.58,1.51,3.09,COVERAGE_MINIMAL,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,OFFICIAL_API_ERROR,/leagues error: API devolvió errors en /leagues,NONE,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,764.39,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,B_ANALIZAR,OVER_OR_BTTS_CHECK,AWAY_TRAILING,away_trailing_keep_away_live,Proj goles: local 1.58 | visitante 1.51,"Market edge primario: prob 0.814 | sin cuota útil, fallback modelo",Bias lado: +0.11 | tie=AWAY_TRAILING | hint=OVER_OR_BTTS_CHECK | coverage=COVERAGE_MINIMAL rel=0.40 stats=0.0 odds=0.0 inj=0.0 lineups=0.0 | stats=NONE hSOT=nan aSOT=nan | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,,,,,1.75,1.75,1.625,1.5,1.0,1.0,0.875,0.75,0.25,0.5,0.625,0.375,0.875,0.875,0.625,0.5,,,,,,,,,,,,,,,,,,,,,,,WATCH,Candidate remains non-actionable watchlist context after production governance.,5
