fixture_id,home_team,away_team,tie_state_label,market_family_hint,vsigma_pre_score,vsigma_priority,tie_adjustment_note
1547770,Independ. Rivadavia,Fluminense,LEVEL_TIE,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,93.1,A_ANALIZAR_PRIMERO,level_tie_soft_opening
1622621,Fenerbahçe,Lyon,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,77.2,A_ANALIZAR_PRIMERO,
1622620,Dinamo Zagreb,Viking,,OVER_OR_BTTS_CHECK,73.34,A_ANALIZAR_PRIMERO,
1607651,Deportivo Recoleta,Boca Juniors,HOME_TRAILING,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,75.88,A_ANALIZAR_PRIMERO,home_trailing_boost
1622622,Levski Sofia,AEK Athens FC,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,68.5,A_ANALIZAR_PRIMERO,
1555107,Hapoel Acre,Maccabi Kiryat Gat,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1555108,Hapoel Afula,Ashdod,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1555109,Hapoel Kfar Shalem,Kafr Qasim,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1555111,Hapoel Ra'anana,Maccabi Ahi Nazareth,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1555110,Hapoel Rishon LeZion,Hapoel Kfar Saba,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1555112,Ironi Modi'in,Maccabi Herzliya,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1555113,Maccabi Bnei Raina,Bnei Yehuda,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1555114,Maccabi Kabilio Jaffa,Kiryat Yam SC,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1520826,Londrina,Atletico Goianiense,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
