date,country,league,league_tier,fixture_id,home_team,away_team,status,vsigma_pre_score,vsigma_priority,market_family_hint,data_warning,league_quality_score,data_quality_score,standings_context_score,attack_environment_score,recent_stats_process_score,recent_lab_context_score,team_edge_score,team_edge_raw,league_coverage_class,league_data_reliability_score,league_coverage_rich_flag,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_stats_reliability_multiplier,league_coverage_uncertainty_penalty,league_coverage_source_status,league_coverage_note,home_goal_path_score,away_goal_path_score,home_recent_lab_trust_multiplier,away_recent_lab_trust_multiplier,home_recent_opponent_strength_avg,away_recent_opponent_strength_avg,home_recent_schedule_difficulty_score,away_recent_schedule_difficulty_score,home_recent_schedule_quality_flag,away_recent_schedule_quality_flag,recent_schedule_balance_delta,home_recent_anomaly_count_last5,away_recent_anomaly_count_last5,home_recent_clean_sample_size,away_recent_clean_sample_size,home_recent_anomaly_penalty,away_recent_anomaly_penalty,home_recent_event_coverage_flag,away_recent_event_coverage_flag,recent_sample_cleanliness_flag,odds_imp_over15,odds_imp_over25,odds_imp_under35,odds_imp_btts_yes,odds_imp_home_win,odds_imp_draw,odds_imp_away_win,odds_imp_home_dnb,odds_imp_away_dnb,odds_market_support_count,odds_bookmaker_support_count,odds_dispersion_score,odds_structure_coherence_flag,odds_total_ladder_shape,odds_goal_expectation_band,odds_side_fragility_flag,odds_btts_support_flag,odds_over25_support_flag,odds_over15_support_flag,odds_under35_support_flag,odds_market_translation_hint,odds_line_aggression_flag,odds_confidence_adjustment_score,odds_structure_depth_status,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_absences,away_absences,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,home_rank,away_rank,home_points,away_points,home_goals_diff,away_goals_diff,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_matches,away_recent_matches,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,data_enrichment_level
2026-08-18,World,CONMEBOL Libertadores,TIER_1,1547770,Independ. Rivadavia,Fluminense,NS,93.1,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,3.49,17.44,3.8,0.0,14.17,12.88,COVERAGE_RICH,0.95,1,1.0,1.0,0.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,19.75,11.47,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,800.14,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,1.0,2.0,16.0,8.0,9.0,0.0,1.0,1.0,2.25,1.0,2.125,1.0,0.75,1.5,0.875,0.625,0.25,0.125,0.75,0.625,0.75,0.875,0.5,0.5,8.0,8.0,5.0,5.0,1.0,1.0,15.8,13.0,11.0,12.2,4.8,4.6,2.8,4.6,52.2,62.8,6.2,2.8,3.4,2.8,10.6,12.2,1.8,2.6,1.2,0.75,3.0,2.6,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-08-18,World,UEFA Champions League,TIER_1,1622621,Fenerbahçe,Lyon,NS,77.2,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,22.0,0.0,19.18,2.66,0.0,6.12,5.56,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,19.97,13.74,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,6.0,1.0,1.0,FULL,FULL,19.6,5.6,HIGH,HIGH,FULL,25.2,0.0,0.1,24.0,6.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,620.13,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,,,,,,,,,2.375,1.875,2.125,2.375,0.5,1.75,1.0,0.75,0.625,0.25,0.375,0.5,0.75,1.0,0.5,0.75,8.0,8.0,5.0,2.0,1.0,0.4,16.8,15.0,10.2,7.5,7.0,7.5,2.6,2.0,64.8,52.0,7.6,8.0,4.2,3.5,12.6,13.5,2.25,0.5,2.0,2.0,4.8,3.5,SPARSE,TEAM_LAST_8_ALL_COMPETITIONS
2026-08-18,World,UEFA Champions League,TIER_1,1622620,Dinamo Zagreb,Viking,NS,73.34,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,OK_FULL_STATS,30,22.0,0.0,20.0,3.42,0.0,1.44,-1.31,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,18.82,19.97,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,1.0,FULL,FULL,3.6,6.0,HIGH,HIGH,FULL,9.6,0.0,0.1,4.0,6.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,620.14,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,,,,,,,,,2.5,2.625,2.625,2.75,0.75,0.75,0.875,1.0,0.5,0.5,0.5,0.5,0.875,0.875,0.625,0.875,8.0,8.0,4.0,5.0,0.8,1.0,28.333,17.2,7.333,10.4,7.75,6.6,3.5,2.6,60.5,48.0,9.5,5.4,3.25,6.0,13.25,11.8,2.0,2.2,0.333,2.0,7.25,4.2,PARTIAL,TEAM_LAST_8_ALL_COMPETITIONS
2026-08-18,World,CONMEBOL Sudamericana,TIER_2,1607651,Deportivo Recoleta,Boca Juniors,NS,71.88,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,25.33,1.76,16.64,3.45,0.0,5.15,4.68,COVERAGE_RICH,0.95,1,1.0,1.0,0.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,13.14,14.95,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,800.12,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,1.0,,8.0,,1.0,,1.0,,1.25,2.0,1.5,1.625,1.0,0.625,0.875,0.75,0.25,0.375,0.75,0.375,0.875,0.625,0.5,0.5,8.0,8.0,5.0,5.0,1.0,1.0,9.4,8.4,13.4,11.4,3.4,4.8,3.4,3.0,46.6,47.0,4.0,2.0,5.0,4.0,10.8,10.4,2.2,3.6,1.6,3.0,1.4,1.8,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-08-18,World,UEFA Champions League,TIER_1,1622622,Levski Sofia,AEK Athens FC,NS,68.5,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL,30,18.5,0.0,17.06,0.0,0.0,2.94,2.67,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,15.33,12.29,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,620.12,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,,,,,,,,,2.125,2.286,2.75,2.143,0.625,0.857,0.875,0.857,0.5,0.429,0.5,0.571,0.875,0.857,0.75,0.857,8.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,NONE,TEAM_LAST_8_ALL_COMPETITIONS
2026-08-18,Israel,Liga Leumit,TIER_3,1555107,Hapoel Acre,Maccabi Kiryat Gat,NS,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK_FULL,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,COVERAGE_PARTIAL,0.7,0,1.0,0.0,0.0,0.0,1.0,0.0,0.35,OFFICIAL_API,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,
2026-08-18,Israel,Liga Leumit,TIER_3,1555108,Hapoel Afula,Ashdod,NS,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK_FULL,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,COVERAGE_PARTIAL,0.7,0,1.0,0.0,0.0,0.0,1.0,0.0,0.35,OFFICIAL_API,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,
2026-08-18,Israel,Liga Leumit,TIER_3,1555109,Hapoel Kfar Shalem,Kafr Qasim,NS,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK_FULL,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,COVERAGE_PARTIAL,0.7,0,1.0,0.0,0.0,0.0,1.0,0.0,0.35,OFFICIAL_API,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,
2026-08-18,Israel,Liga Leumit,TIER_3,1555111,Hapoel Ra'anana,Maccabi Ahi Nazareth,NS,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK_FULL,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,COVERAGE_PARTIAL,0.7,0,1.0,0.0,0.0,0.0,1.0,0.0,0.35,OFFICIAL_API,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,
2026-08-18,Israel,Liga Leumit,TIER_3,1555110,Hapoel Rishon LeZion,Hapoel Kfar Saba,NS,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK_FULL,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,COVERAGE_PARTIAL,0.7,0,1.0,0.0,0.0,0.0,1.0,0.0,0.35,OFFICIAL_API,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,
