historical_batch_date,execution_rank,execution_shortlist_source,final_execution_bucket,final_recommendation,execution_score,fixture_id,league,home_team,away_team,market_primary,selection_score,primary_model_prob,primary_odds_used,primary_edge,accuracy_mode_eligible_flag,accuracy_confidence_score,accuracy_mode_reason,accuracy_primary_risk,accuracy_mode_bucket,accuracy_mode_rank,competition_raw_prob,competition_calibrated_prob,competition_prob_calibration_bucket,competition_prob_calibration_reason,competition_prob_shrinkage_applied_flag,result_status,actionable_result,primary_result,profit_units,stake_units
2026-05-04,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,140.47333333333336,1392179,Segunda División,Almeria,Mirandes,OVER_2_5,104.7,0.8344,1.5,0.1677333333333334,1,138.3,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8344,0.851525,BUCKET:ACCURACY_CORE,CALIBRATED_BUCKET_RELIABILITY_UPLIFT,1,RESULT_AVAILABLE,WIN,WIN,0.5,1.0
2026-05-04,2,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,119.40623188405797,1391156,La Liga,Sevilla,Real Sociedad,OVER_1_5,95.93,0.9094,1.38,0.1847623188405796,1,123.168,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_EXTENDED_STRONG,2,0.9094,0.8294,MARKET:OVER_1_5,CALIBRATED_MARKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0
2026-05-05,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,124.19203007518797,1535295,CONMEBOL Libertadores,Sporting Cristal,Palmeiras,OVER_1_5,94.86,0.8552,1.33,0.1033203007518797,1,146.363,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8552,0.78756,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.33,1.0
2026-05-06,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,141.830522875817,1535283,CONMEBOL Libertadores,Barcelona SC,Boca Juniors,OVER_1_5,102.04,0.8615,1.53,0.2079052287581699,1,154.276,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8615,0.79386,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0
2026-05-07,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,140.38666666666666,1540873,UEFA Europa League,Aston Villa,Nottingham Forest,OVER_2_5,93.53,0.7994,1.92,0.2785666666666666,1,134.952,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,3,0.7994,0.816525,BUCKET:ACCURACY_CORE,CALIBRATED_BUCKET_RELIABILITY_UPLIFT,1,RESULT_AVAILABLE,WIN,WIN,0.92,1.0
2026-05-07,2,PREMIUM_CORE,APPROVED_PREMIUM,BET,139.5244827586207,1535288,CONMEBOL Libertadores,Independ. Rivadavia,Fluminense,OVER_1_5,102.23,0.8726,1.45,0.1829448275862069,1,154.041,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8726,0.80496,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.45,1.0
2026-05-07,3,PREMIUM_CORE,APPROVED_PREMIUM,BET,132.928198757764,1535294,CONMEBOL Libertadores,Santa Fe,Corinthians,OVER_1_5,91.79,0.8425,1.61,0.2213819875776398,1,149.844,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,2,0.8425,0.77486,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.61,1.0
2026-05-08,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,159.5,1392192,Segunda División,Cadiz,Deportivo La Coruna,AWAY_WIN,101.4,0.891,2.0,0.391,1,118.28,ACCURACY_CORE_PRIORITY;ACCURACY_MODEL_PROB_HIGH,FAILURE_MODE_DRAW_LIVE,ACCURACY_CORE,3,0.891,0.908125,BUCKET:ACCURACY_CORE,CALIBRATED_BUCKET_RELIABILITY_UPLIFT,1,RESULT_AVAILABLE,WIN,WIN,1.0,1.0
2026-05-08,2,PREMIUM_CORE,APPROVED_PREMIUM,BET,137.09203007518798,1419970,Serie B,Catanzaro,Bari,OVER_1_5,102.64,0.9064,1.33,0.1545203007518797,1,152.465,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.9064,0.83876,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.33,1.0
2026-05-08,5,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,119.64333333333333,1535284,CONMEBOL Libertadores,Coquimbo Unido,Universitario,OVER_1_5,89.45,0.9186,1.5,0.2519333333333333,1,124.874,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_EXTENDED_STRONG,2,0.9186,0.8386,MARKET:OVER_1_5,CALIBRATED_MARKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.5,1.0
