# vSIGMA Daily Freshness Report

- Target date: 2026-05-15
- PASS: 22
- EMPTY_OK_NO_BET: 4
- WARNING_STALE_GLOBAL_FILE: 1
- ERROR_MISSING_REQUIRED_FILE: 0
- EMPTY_UNEXPECTED: 0
- PRE_LOCK_ACTIVE: pre-lock review writes separate PRELOCK outputs and never overwrites the frozen morning official baseline.

| target_date | file_name | path | pipeline_mode | candidate_version | status | detail | rows | snapshot_path |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2026-05-15 | vsigma_today_competition_shortlist.csv | C:\vsigma\data\processed\vsigma_today_competition_shortlist.csv | PRE | OFFICIAL_BASELINE | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_competition_shortlist.csv |
| 2026-05-15 | vsigma_today_competition_top.csv | C:\vsigma\data\processed\vsigma_today_competition_top.csv | PRE | OFFICIAL_BASELINE | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_competition_top.csv |
| 2026-05-15 | vsigma_today_candidate_v2_competition_shortlist.csv | C:\vsigma\data\processed\vsigma_today_candidate_v2_competition_shortlist.csv | PRE | CANDIDATE_V2 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v2_competition_shortlist.csv |
| 2026-05-15 | vsigma_today_candidate_v2_competition_top.csv | C:\vsigma\data\processed\vsigma_today_candidate_v2_competition_top.csv | PRE | CANDIDATE_V2 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v2_competition_top.csv |
| 2026-05-15 | vsigma_today_candidate_v4_competition_shortlist.csv | C:\vsigma\data\processed\vsigma_today_candidate_v4_competition_shortlist.csv | PRE | CANDIDATE_V4 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v4_competition_shortlist.csv |
| 2026-05-15 | vsigma_today_candidate_v4_competition_top.csv | C:\vsigma\data\processed\vsigma_today_candidate_v4_competition_top.csv | PRE | CANDIDATE_V4 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v4_competition_top.csv |
| 2026-05-15 | vsigma_today_candidate_v5_competition_shortlist.csv | C:\vsigma\data\processed\vsigma_today_candidate_v5_competition_shortlist.csv | PRE | CANDIDATE_V5 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v5_competition_shortlist.csv |
| 2026-05-15 | vsigma_today_candidate_v5_competition_top.csv | C:\vsigma\data\processed\vsigma_today_candidate_v5_competition_top.csv | PRE | CANDIDATE_V5 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v5_competition_top.csv |
| 2026-05-15 | vsigma_today_candidate_v6_competition_shortlist.csv | C:\vsigma\data\processed\vsigma_today_candidate_v6_competition_shortlist.csv | PRE | CANDIDATE_V6 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v6_competition_shortlist.csv |
| 2026-05-15 | vsigma_today_candidate_v6_competition_top.csv | C:\vsigma\data\processed\vsigma_today_candidate_v6_competition_top.csv | PRE | CANDIDATE_V6 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v6_competition_top.csv |
| 2026-05-15 | vsigma_today_candidate_v7_competition_shortlist.csv | C:\vsigma\data\processed\vsigma_today_candidate_v7_competition_shortlist.csv | PRE | CANDIDATE_V7 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v7_competition_shortlist.csv |
| 2026-05-15 | vsigma_today_candidate_v7_competition_top.csv | C:\vsigma\data\processed\vsigma_today_candidate_v7_competition_top.csv | PRE | CANDIDATE_V7 | EMPTY_OK_NO_BET | empty output with headers is valid for a no-bet day | 0 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v7_competition_top.csv |
| 2026-05-15 | vsigma_today_baseline_vs_candidate_v2.csv | C:\vsigma\data\processed\vsigma_today_baseline_vs_candidate_v2.csv | PRE | COMPARISON | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_baseline_vs_candidate_v2.csv |
| 2026-05-15 | vsigma_today_baseline_vs_candidate_v2_vs_candidate_v4.csv | C:\vsigma\data\processed\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v4.csv | PRE | COMPARISON | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v4.csv |
| 2026-05-15 | vsigma_today_baseline_vs_candidate_v2_vs_candidate_v5.csv | C:\vsigma\data\processed\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v5.csv | PRE | COMPARISON | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v5.csv |
| 2026-05-15 | vsigma_today_baseline_vs_candidate_v2_vs_candidate_v6.csv | C:\vsigma\data\processed\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v6.csv | PRE | COMPARISON | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v6.csv |
| 2026-05-15 | vsigma_today_baseline_vs_candidate_v2_vs_candidate_v7.csv | C:\vsigma\data\processed\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v7.csv | PRE | COMPARISON | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v7.csv |
| 2026-05-15 | vsigma_today_match_script_forecasts.csv | C:\vsigma\data\processed\vsigma_today_match_script_forecasts.csv | PRE | FORECAST | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_match_script_forecasts.csv |
| 2026-05-15 | vsigma_today_candidate_v2_match_script_forecasts.csv | C:\vsigma\data\processed\vsigma_today_candidate_v2_match_script_forecasts.csv | PRE | FORECAST_CANDIDATE_V2 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v2_match_script_forecasts.csv |
| 2026-05-15 | vsigma_today_candidate_v4_match_script_forecasts.csv | C:\vsigma\data\processed\vsigma_today_candidate_v4_match_script_forecasts.csv | PRE | FORECAST_CANDIDATE_V4 | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v4_match_script_forecasts.csv |
| 2026-05-15 | vsigma_today_prelock_competition_top.csv | C:\vsigma\data\processed\vsigma_today_prelock_competition_top.csv | PRELOCK | OFFICIAL_BASELINE_PRELOCK | EMPTY_OK_NO_BET | empty output with headers is valid for a no-bet day | 0 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_prelock_competition_top.csv |
| 2026-05-15 | vsigma_today_prelock_comparison.csv | C:\vsigma\data\processed\vsigma_today_prelock_comparison.csv | PRELOCK | PRELOCK_COMPARISON | EMPTY_OK_NO_BET | empty output with headers is valid for a no-bet day | 0 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_prelock_comparison.csv |
| 2026-05-15 | vsigma_today_candidate_v7_results_ledger.csv | C:\vsigma\data\processed\vsigma_today_candidate_v7_results_ledger.csv | POST | CANDIDATE_V7_RESULTS | EMPTY_OK_NO_BET | empty output with headers is valid for a no-bet day | 0 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v7_results_ledger.csv |
| 2026-05-15 | vsigma_today_candidate_v7_results_summary.csv | C:\vsigma\data\processed\vsigma_today_candidate_v7_results_summary.csv | POST | CANDIDATE_V7_RESULTS | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_candidate_v7_results_summary.csv |
| 2026-05-15 | vsigma_today_baseline_vs_candidate_v2_vs_candidate_v7_results.csv | C:\vsigma\data\processed\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v7_results.csv | POST | RESULT_COMPARISON | PASS | output is fresh for requested target date | 1 | C:\vsigma\data\processed\today\2026-05-15\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v7_results.csv |
| 2026-05-15 | today_pipeline_report.csv | C:\vsigma\data\processed\today\2026-05-15\today_pipeline_report.csv | SNAPSHOT | GLOBAL_LATEST_CONTEXT | PASS | snapshot context file present | 1 | C:\vsigma\data\processed\today\2026-05-15\today_pipeline_report.csv |
| 2026-05-15 | today_post_results_report.csv | C:\vsigma\data\processed\today\2026-05-15\today_post_results_report.csv | SNAPSHOT | GLOBAL_LATEST_CONTEXT | WARNING_STALE_GLOBAL_FILE | snapshot context file not present yet | 0 | C:\vsigma\data\processed\today\2026-05-15\today_post_results_report.csv |
