mode,historical_batch_date,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent,equity_units
CORE_ONLY,2026-05-04,1,1,1,0,0,0,0.5,50.0,0.5
CORE_ONLY,2026-05-05,2,2,1,1,0,0,-0.67,-33.5,-0.17
CORE_ONLY,2026-05-06,3,3,2,1,0,0,-0.37,-12.333333,-0.54
CORE_ONLY,2026-05-07,3,3,3,0,0,0,1.98,66.0,1.44
CORE_ONLY,2026-05-08,2,2,2,0,0,0,1.33,66.5,2.77
CORE_PLUS_STANDARD,2026-05-04,1,1,1,0,0,0,0.5,50.0,0.5
CORE_PLUS_STANDARD,2026-05-05,2,2,1,1,0,0,-0.67,-33.5,-0.17
CORE_PLUS_STANDARD,2026-05-06,3,3,2,1,0,0,-0.37,-12.333333,-0.54
CORE_PLUS_STANDARD,2026-05-07,3,3,3,0,0,0,1.98,66.0,1.44
CORE_PLUS_STANDARD,2026-05-08,5,5,4,1,0,0,1.42,28.4,2.86
FULL_SHORTLIST,2026-05-04,4,4,3,1,0,0,0.52,13.0,0.52
FULL_SHORTLIST,2026-05-05,3,3,2,1,0,0,-0.37,-12.333333,0.15
FULL_SHORTLIST,2026-05-06,3,3,2,1,0,0,-0.37,-12.333333,-0.22
FULL_SHORTLIST,2026-05-07,3,3,3,0,0,0,1.98,66.0,1.76
FULL_SHORTLIST,2026-05-08,7,7,6,1,0,0,2.31,33.0,4.07
COMPETITION_ACCURACY_MODE,2026-05-04,2,2,1,1,0,0,-0.5,-25.0,-0.5
COMPETITION_ACCURACY_MODE,2026-05-05,1,1,1,0,0,0,0.33,33.0,-0.17
COMPETITION_ACCURACY_MODE,2026-05-06,1,1,0,1,0,0,-1.0,-100.0,-1.17
COMPETITION_ACCURACY_MODE,2026-05-07,3,3,3,0,0,0,1.98,66.0,0.81
COMPETITION_ACCURACY_MODE,2026-05-08,3,3,3,0,0,0,1.83,61.0,2.64
