mode,market_primary,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent
CORE_ONLY,AWAY_WIN,1,1,1,0,0,0,1.0,100.0
CORE_ONLY,BTTS_YES,1,1,1,0,0,0,0.31,31.0
CORE_ONLY,OVER_1_5,7,7,5,2,0,0,0.04,0.571429
CORE_ONLY,OVER_2_5,2,2,2,0,0,0,1.42,71.0
CORE_PLUS_STANDARD,AWAY_WIN,1,1,1,0,0,0,1.0,100.0
CORE_PLUS_STANDARD,BTTS_YES,2,2,2,0,0,0,0.86,43.0
CORE_PLUS_STANDARD,OVER_1_5,7,7,5,2,0,0,0.04,0.571429
CORE_PLUS_STANDARD,OVER_2_5,4,4,3,1,0,0,0.96,24.0
FULL_SHORTLIST,AWAY_WIN,1,1,1,0,0,0,1.0,100.0
FULL_SHORTLIST,BTTS_YES,2,2,2,0,0,0,0.86,43.0
FULL_SHORTLIST,OVER_1_5,10,10,7,3,0,0,-0.16,-1.6
FULL_SHORTLIST,OVER_2_5,5,5,4,1,0,0,1.68,33.6
FULL_SHORTLIST,UNDER_3_5,2,2,2,0,0,0,0.69,34.5
COMPETITION_ACCURACY_MODE,AWAY_WIN,1,1,1,0,0,0,1.0,100.0
COMPETITION_ACCURACY_MODE,OVER_1_5,7,7,5,2,0,0,0.22,3.142857
COMPETITION_ACCURACY_MODE,OVER_2_5,2,2,2,0,0,0,1.42,71.0
