summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,3,3,1,1,0,88.0833,0.217916,12.6667,8.6667,4.0,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,1,1,1,1,0,90.21,0.155217,13.0,13.0,0.0,0.0
by_final_execution_bucket,DOWNGRADED,,,,,2,2,0,0,0,87.02,0.249266,12.5,6.5,6.0,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,1,1,1,1,0,90.21,0.155217,13.0,13.0,0.0,0.0
by_bucket_and_governance_status,DOWNGRADED,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,1,1,0,0,0,83.48,0.388957,25.0,13.0,12.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,1,1,0,0,0,90.56,0.109575,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,1,1,1,1,0,90.21,0.155217,13.0,13.0,0.0,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,2,2,0,0,0,87.02,0.249266,12.5,6.5,6.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,1,1,1,1,0,90.21,0.155217,13.0,13.0,0.0,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,2,2,0,0,0,87.02,0.249266,12.5,6.5,6.0,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,1,1,1,1,0,90.21,0.155217,13.0,13.0,0.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,PREMIUM_EVIDENCE,1,1,0,0,0,83.48,0.388957,25.0,13.0,12.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,1,1,0,0,0,90.56,0.109575,0.0,0.0,0.0,0.0
