summary_scope,metric,rows_total
overall,target_fixtures,52
odds_structure_depth_status,OK,52
odds_structure_coherence_flag,RICH_COHERENT,30
odds_structure_coherence_flag,RICH_MIXED,20
odds_structure_coherence_flag,RICH_NOISY,2
odds_total_ladder_shape,BROAD_GOALS,22
odds_total_ladder_shape,WIDE_GOALS,14
odds_total_ladder_shape,MILD_GOALS,9
odds_total_ladder_shape,BALANCED,5
odds_total_ladder_shape,LOW_GOALS,2
odds_market_translation_hint,ALLOW_AGGRESSIVE_TOTAL,36
odds_market_translation_hint,PREFER_MILDER_TOTAL,11
odds_market_translation_hint,CAUTION_FRAGILE_SIDE,3
odds_market_translation_hint,NEUTRAL,2
odds_line_aggression_flag,OVER_2_5_SUPPORTED,36
odds_line_aggression_flag,PREFER_OVER_1_5,9
odds_line_aggression_flag,NEUTRAL,5
odds_line_aggression_flag,AVOID_AGGRESSIVE_OVERS,2
