rule_type,metric,direction,threshold,rule,validation_windows,validation_positive_windows,validation_negative_windows,validation_positive_window_rate_pct,source_split_ids,first_validation_start_day,last_validation_end_day,train_window_rows_total,train_window_graded_bets,train_window_wins,train_window_losses,train_window_pushes,train_window_voids,train_window_stake_units,train_window_profit_units,train_window_roi_pct,validation_rows_total,validation_graded_bets,validation_wins,validation_losses,validation_pushes,validation_voids,validation_stake_units,validation_profit_units,validation_roi_pct,validation_hit_rate_decided_pct,promotion_reason
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1155313432835821,model_edge_abs_num >= 0.115531,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,91,58,46,12,0,0,58.0,9.9,17.069,48,31,26,5,0,0,31.0,7.7,24.8387,83.871,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1155313432835821,primary_edge >= 0.115531,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,91,58,46,12,0,0,58.0,9.9,17.069,48,31,26,5,0,0,31.0,7.7,24.8387,83.871,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1316842105263158,model_edge_abs_num >= 0.131684,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,73,43,34,9,0,0,43.0,8.78,20.4186,41,26,22,4,0,0,26.0,7.06,27.1538,84.6154,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1364333333333334,model_edge_abs_num >= 0.136433,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,70,43,34,9,0,0,43.0,8.78,20.4186,41,26,22,4,0,0,26.0,7.06,27.1538,84.6154,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1316842105263158,primary_edge >= 0.131684,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,73,43,34,9,0,0,43.0,8.78,20.4186,41,26,22,4,0,0,26.0,7.06,27.1538,84.6154,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1364333333333334,primary_edge >= 0.136433,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,70,43,34,9,0,0,43.0,8.78,20.4186,41,26,22,4,0,0,26.0,7.06,27.1538,84.6154,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1677333333333334,model_edge_abs_num >= 0.167733,4,4,0,100.0,"12,13,14,15",2026-05-05,2026-05-08,63,39,32,7,0,0,39.0,10.69,27.4103,31,20,17,3,0,0,20.0,6.0,30.0,85.0,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1677333333333334,primary_edge >= 0.167733,4,4,0,100.0,"12,13,14,15",2026-05-05,2026-05-08,63,39,32,7,0,0,39.0,10.69,27.4103,31,20,17,3,0,0,20.0,6.0,30.0,85.0,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1762448275862068,model_edge_abs_num >= 0.176245,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,51,30,24,6,0,0,30.0,7.58,25.2667,26,16,14,2,0,0,16.0,5.84,36.5,87.5,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1762448275862068,primary_edge >= 0.176245,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,51,30,24,6,0,0,30.0,7.58,25.2667,26,16,14,2,0,0,16.0,5.84,36.5,87.5,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1644311475409836,model_edge_abs_num >= 0.164431,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,59,35,29,6,0,0,35.0,9.72,27.7714,30,19,16,3,0,0,19.0,5.55,29.2105,84.2105,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1644311475409836,primary_edge >= 0.164431,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,59,35,29,6,0,0,35.0,9.72,27.7714,30,19,16,3,0,0,19.0,5.55,29.2105,84.2105,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1847623188405796,model_edge_abs_num >= 0.184762,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,44,26,20,6,0,0,26.0,5.78,22.2308,23,15,13,2,0,0,15.0,5.39,35.9333,86.6667,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1847623188405796,primary_edge >= 0.184762,3,3,0,100.0,"13,14,15",2026-05-06,2026-05-08,44,26,20,6,0,0,26.0,5.78,22.2308,23,15,13,2,0,0,15.0,5.39,35.9333,86.6667,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1694242424242424,model_edge_abs_num >= 0.169424,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,45,28,23,5,0,0,28.0,7.3,26.0714,19,12,11,1,0,0,12.0,5.25,43.75,91.6667,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1694242424242424,primary_edge >= 0.169424,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,45,28,23,5,0,0,28.0,7.3,26.0714,19,12,11,1,0,0,12.0,5.25,43.75,91.6667,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1280993006993006,model_edge_abs_num >= 0.128099,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,65,41,32,9,0,0,41.0,7.22,17.6098,29,18,15,3,0,0,18.0,5.03,27.9444,83.3333,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1294313432835822,model_edge_abs_num >= 0.129431,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,63,39,30,9,0,0,39.0,6.36,16.3077,29,18,15,3,0,0,18.0,5.03,27.9444,83.3333,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1381412213740458,model_edge_abs_num >= 0.138141,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,57,35,30,5,0,0,35.0,10.36,29.6,29,18,15,3,0,0,18.0,5.03,27.9444,83.3333,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1280993006993006,primary_edge >= 0.128099,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,65,41,32,9,0,0,41.0,7.22,17.6098,29,18,15,3,0,0,18.0,5.03,27.9444,83.3333,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1294313432835822,primary_edge >= 0.129431,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,63,39,30,9,0,0,39.0,6.36,16.3077,29,18,15,3,0,0,18.0,5.03,27.9444,83.3333,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1381412213740458,primary_edge >= 0.138141,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,57,35,30,5,0,0,35.0,10.36,29.6,29,18,15,3,0,0,18.0,5.03,27.9444,83.3333,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1780594594594595,model_edge_abs_num >= 0.178059,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,41,24,19,5,0,0,24.0,5.76,24.0,18,11,10,1,0,0,11.0,4.86,44.1818,90.9091,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,primary_edge,>=,0.1780594594594595,primary_edge >= 0.178059,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,41,24,19,5,0,0,24.0,5.76,24.0,18,11,10,1,0,0,11.0,4.86,44.1818,90.9091,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
NUMERIC_THRESHOLD,model_edge_abs_num,>=,0.1462746478873239,model_edge_abs_num >= 0.146275,2,2,0,100.0,"14,15",2026-05-07,2026-05-08,54,33,28,5,0,0,33.0,9.74,29.5152,26,17,14,3,0,0,17.0,4.48,26.3529,82.3529,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
