split_id,train_start_day,train_end_day,validation_start_day,validation_end_day,train_days,validation_days,train_rows_total,train_graded_bets,train_profit_units,train_roi_pct,validation_rows_total,validation_graded_bets,validation_profit_units,validation_roi_pct
1,2026-04-23,2026-04-23,2026-04-24,2026-04-24,1,1,28,0,0.0,,32,0,0.0,
2,2026-04-23,2026-04-24,2026-04-25,2026-04-25,2,1,60,0,0.0,,109,0,0.0,
3,2026-04-23,2026-04-25,2026-04-26,2026-04-26,3,1,169,0,0.0,,79,0,0.0,
4,2026-04-23,2026-04-26,2026-04-27,2026-04-27,4,1,248,0,0.0,,21,0,0.0,
5,2026-04-23,2026-04-27,2026-04-28,2026-04-28,5,1,269,0,0.0,,10,0,0.0,
6,2026-04-23,2026-04-28,2026-04-29,2026-04-29,6,1,279,0,0.0,,27,0,0.0,
7,2026-04-23,2026-04-29,2026-04-30,2026-04-30,7,1,306,0,0.0,,15,0,0.0,
8,2026-04-23,2026-04-30,2026-05-01,2026-05-01,8,1,321,0,0.0,,28,0,0.0,
9,2026-04-23,2026-05-01,2026-05-02,2026-05-02,9,1,349,0,0.0,,119,0,0.0,
10,2026-04-23,2026-05-02,2026-05-03,2026-05-03,10,1,468,0,0.0,,85,0,0.0,
11,2026-04-23,2026-05-03,2026-05-04,2026-05-04,11,1,553,0,0.0,,15,8,0.98,12.25
12,2026-04-23,2026-05-04,2026-05-05,2026-05-05,12,1,568,8,0.98,12.25,14,10,-0.59,-5.9
13,2026-04-23,2026-05-05,2026-05-06,2026-05-06,13,1,582,18,0.39,2.1667,22,17,-0.23,-1.3529
14,2026-04-23,2026-05-06,2026-05-07,2026-05-07,14,1,604,35,0.16,0.4571,16,11,2.93,26.6364
15,2026-04-23,2026-05-07,2026-05-08,2026-05-08,15,1,620,46,3.09,6.7174,27,16,-1.23,-7.6875
