date,country,league,league_tier,fixture_id,home_team,away_team,status,vsigma_pre_score,vsigma_priority,market_family_hint,data_warning,league_quality_score,data_quality_score,attack_environment_score,team_edge_score,team_edge_raw,home_goal_path_score,away_goal_path_score,motivation_total_score,absences_noise_penalty,home_motivation_num,away_motivation_num,home_absences_num,away_absences_num,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_form_pts,away_form_pts,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate
2026-05-05,World,UEFA Champions League,TIER_1,1540843,Arsenal,Atletico Madrid,NS,45.05,C_SOLO_SI_BLOQUE_SECO,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK,30,6.43,7.5,1.12,-1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,2.25,0.875,1.0,0.25,0.25
2026-05-05,World,CONMEBOL Libertadores,TIER_1,1535295,Sporting Cristal,Palmeiras,NS,44.81,D_CONTEXT_ONLY,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK,30,6.43,7.5,0.88,-0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.5,1.875,1.0,0.875,0.0,0.25
2026-05-05,Netherlands,Eredivisie,TIER_1,1543677,Waalwijk,Willem II,NS,43.93,D_CONTEXT_ONLY,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK,30,6.43,6.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.75,0.625,1.0,0.125,0.0
2026-05-05,World,CONMEBOL Libertadores,TIER_1,1535293,Rosario Central,Libertad Asuncion,NS,43.26,D_CONTEXT_ONLY,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK,30,6.43,6.0,0.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.167,1.167,0.833,0.667,0.167,0.167
2026-05-05,World,CONMEBOL Sudamericana,TIER_2,1535195,Independiente Petrolero,Caracas FC,NS,8.21,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,23,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,0.0,,0.0
2026-05-05,World,CONMEBOL Sudamericana,TIER_2,1535194,Deportivo Riestra,Gremio,NS,5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,World,CONMEBOL Sudamericana,TIER_2,1535196,Juventud,Atletico-MG,NS,5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Scotland,Premiership,TIER_2,1543679,Dunfermline,Arbroath,NS,5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Lithuania,A Lyga,TIER_3,1522797,FK Trakai,Banga,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-05-05,Lithuania,A Lyga,TIER_3,1522798,Kauno Žalgiris,Džiugas Telšiai,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_NUMERIC_DATA_OR_ALL_ZERO,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
