date,country,league,league_tier,fixture_id,home_team,away_team,status,vsigma_pre_score,vsigma_priority,market_family_hint,data_warning,league_quality_score,data_quality_score,attack_environment_score,team_edge_score,team_edge_raw,home_goal_path_score,away_goal_path_score,motivation_total_score,absences_noise_penalty,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate
2026-05-05,World,CONMEBOL Libertadores,TIER_1,1535295,Sporting Cristal,Palmeiras,NS,68.73,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_PRIOR,30,11.0,18.0,9.73,-8.46,14.52,18.0,0.0,0.0,1.5,1.875,2.0,2.125,3.5,1.125,1.0,0.875,0.0,0.25,1.0,0.75,1.0,0.875,1.0,0.75
2026-05-05,World,UEFA Champions League,TIER_1,1540843,Arsenal,Atletico Madrid,NS,60.03,B_ANALIZAR,OVER_OR_BTTS_CHECK,OK_PRIOR,30,11.0,18.0,1.03,-0.9,15.65,15.92,0.0,0.0,2.0,2.25,2.5,2.5,1.0,1.125,0.875,1.0,0.25,0.25,0.625,0.75,0.875,0.875,0.875,0.875
2026-05-05,Netherlands,Eredivisie,TIER_1,1543677,Waalwijk,Willem II,NS,58.34,B_ANALIZAR,OVER_OR_BTTS_CHECK,OK_PRIOR,30,11.0,15.83,1.51,-1.31,13.62,16.5,0.0,0.0,1.0,0.75,1.5,1.375,2.5,1.875,0.625,1.0,0.125,0.0,0.625,1.0,0.875,1.0,0.75,0.75
2026-05-05,World,CONMEBOL Libertadores,TIER_1,1535293,Rosario Central,Libertad Asuncion,NS,55.52,B_ANALIZAR,OVER_OR_BTTS_CHECK,OK_PRIOR,30,11.0,12.65,1.87,1.63,12.15,10.27,0.0,0.0,1.167,1.167,1.333,1.167,1.167,1.333,0.833,0.667,0.167,0.167,0.667,0.5,0.667,1.0,0.5,0.5
2026-05-05,World,CONMEBOL Sudamericana,TIER_2,1535195,Independiente Petrolero,Caracas FC,NS,32.47,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK_PRIOR,23,5.5,0.75,3.22,2.8,2.8,0.0,0.0,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0
2026-05-05,World,CONMEBOL Sudamericana,TIER_2,1535194,Deportivo Riestra,Gremio,NS,5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,World,CONMEBOL Sudamericana,TIER_2,1535196,Juventud,Atletico-MG,NS,5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Scotland,Premiership,TIER_2,1543679,Dunfermline,Arbroath,NS,5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Lithuania,A Lyga,TIER_3,1522797,FK Trakai,Banga,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Lithuania,A Lyga,TIER_3,1522798,Kauno Žalgiris,Džiugas Telšiai,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Canada,Canadian Championship,TIER_3,1543072,Toronto FC,Atlético Ottawa,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Scotland,Championship,TIER_3,1543764,Alloa Athletic,Airdrie United,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Scotland,Championship,TIER_3,1543765,Queen of the South,Stenhousemuir,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Scotland,League One,TIER_3,1543768,Clyde,Spartans,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Scotland,League One,TIER_3,1543769,Forfar Athletic,Hamilton Academical,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541892,Hapoel Hadera,Ironi Modi'in,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541889,Hapoel Kfar Saba,Bnei Yehuda,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541894,Hapoel Ramat Gan,Maccabi Petah Tikva,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541893,Hapoel Rishon LeZion,Kiryat Yam SC,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541890,Kafr Qasim,Hapoel Acre,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Israel,Liga Leumit,TIER_3,1541891,Maccabi Herzliya,Hapoel Kfar Shalem,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Egypt,Premier League,TIER_3,1533679,Al Ahly,Enppi,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Egypt,Premier League,TIER_3,1533680,Ceramica Cleopatra,Pyramids FC,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,Egypt,Premier League,TIER_3,1533681,Smouha SC,Zamalek SC,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,South-Africa,Premier Soccer League,TIER_3,1429684,Chippa United,Sekhukhune United,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,South-Africa,Premier Soccer League,TIER_3,1429683,Magesi,Orbit College,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,South-Africa,Premier Soccer League,TIER_3,1429682,Siwelele,Durban City,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2026-05-05,South-Africa,Premier Soccer League,TIER_3,1429681,Stellenbosch,Orlando Pirates,NS,-5.0,NO_DATA_BLOCKED,NO_DATA_ENRICHMENT_REQUIRED,NO_DATA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
