date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_form_pts,away_form_pts,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_motivation,away_motivation,home_absences,away_absences,country
2026-05-05,Liga E Pare,1195,2025,1531464,NS,FC Besa Peja,25421,Tefik Canga,26793,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531465,NS,Istogu,15572,2 Korriku,14398,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531466,NS,Kika,15574,Liria Prizren,14402,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531467,NS,Prizreni,15578,Feronikeli,4132,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531468,NS,Ramiz Sadiku,15579,KEK-u,15573,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531469,NS,Suhareka,22817,Rilindja 1974,20689,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531470,NS,Trepça'89,3885,Dinamo Ferizaj,22815,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531471,NS,Trepça Mitrovicë,14403,Vushtrria,14396,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531472,NS,Vëllaznimi,15582,Vjosa,20690,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Premier League,847,2025,1512086,NS,Rangers FC,18314,Green Mamba,6421,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Eswatini
2026-05-05,Premier League,847,2025,1512088,NS,Young Buffaloes,8076,Amawele,26847,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Eswatini
2026-05-05,Championnat D1,968,2025,1543835,NS,Lozo,21191,US Oyem,21193,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon
2026-05-05,Premier League,425,2025,1544169,NS,Foutoua,9114,Omaya SC,27270,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Syria
2026-05-05,First League,343,2025,1540339,NS,Noah II,21879,Van II,26199,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Armenia
2026-05-05,Championnat D1,968,2025,1543836,NS,Ogooue FC,27625,Cercle Mbéri,6415,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon
2026-05-05,Championnat D1,968,2025,1543837,NS,Stade Mandji,19865,Stade Migoveen,27575,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon
2026-05-05,Championnat D1,968,2025,1543838,NS,Vautour Club,21194,Mangasport,8089,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon
2026-05-05,Landesliga - Steiermark,229,2025,1465103,NS,Tillmitsch,21533,FSC Hochegger Dächer,21729,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465104,NS,UFC Fehring,18409,Pachern,19702,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465105,NS,Leoben,8326,Allerheiligen,4934,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465106,NS,Gnas,8321,Lebring,8325,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465107,NS,Union RB Weinland Gamlit,8331,Ilz,8323,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465108,NS,Bad Waltersdorf,24454,Fürstenfeld,8320,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465109,NS,Wildon,8333,Schladming,21730,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465110,NS,Köflach,19310,Bruck an der Mur,8318,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Championnat D1,968,2025,1543839,NS,Bouenguidi,15564,Bitam,21187,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon
