date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_form_pts,away_form_pts,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_motivation,away_motivation,home_absences,away_absences,country,home_recent_matches,home_goals_for_pg,home_goals_against_pg,home_btts_rate,home_over15_rate,home_over25_rate,away_recent_matches,away_goals_for_pg,away_goals_against_pg,away_btts_rate,away_over15_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_source,data_enrichment_updated_at,data_enrichment_level,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status
2026-05-07,Elite Two,813,2026,1515641,NS,Yafoot,5558,Avion Academy,5399,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Premier League,847,2025,1512089,NS,Moneni Pirates,16821,Ubombo Sugar,26849,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Première Division,598,2025,1540830,PST,Djoliba,8060,USFAS Bamako,12681,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Première Division,598,2025,1540831,PST,Stade Malien Bamako,6434,Bougouni,12669,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Oberliga - Bremen,749,2025,1413299,NS,Eiche Horn,24523,Sebaldsbrück,26192,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Première Division,598,2025,1540832,PST,US Bougouba,18183,Mali Coura,27222,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Première Division,598,2025,1540833,PST,Afrique Football Élite,18182,Bakaridjan,12668,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Ligue 1,186,2025,1513472,NS,MC Oran,907,ASO Chlef,931,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,UEFA Europa League,3,2025,1540873,NS,Aston Villa,66,Nottingham Forest,65,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,0.0,,,,,,0.0,,,,,,2024.0,2024.0,CACHE_FREEPLAN_HISTORICAL_PRIOR|CACHE_FREEPLAN_HISTORICAL_PRIOR,2026-05-07T19:10:57.987785+00:00,NO_AVAILABLE_FREEPLAN_DATA,2.0,21.0,8.0,8.0,14.0,6.0,1.0,13.0,14.0,8.0,8.0,15.0,7.0,0.0,36.0,2026-05-07T19:10:58.745919+00:00,1.78,4.08,4.8,1.83,2.0,1.29,3.8,1.94,2.01,3.4,1.38,,,,,,13.0,188.0,5942.0,0.5618,0.2451,0.2083,0.5464,0.5,0.7752,0.2632,0.5155,0.4975,0.2941,0.7246,,,,,,2026-05-07T19:10:59.539795+00:00,OK
2026-05-07,UEFA Europa League,3,2025,1540874,NS,SC Freiburg,160,SC Braga,217,,,,,,,,,,1.25,,0.75,,0.25,5.0,5.0,0.0,0.0,World,0.0,,,,,,8.0,1.125,1.5,0.5,0.875,0.75,2024.0,2024.0,CACHE_FREEPLAN_HISTORICAL_PRIOR|CACHE_FREEPLAN_HISTORICAL_PRIOR,2026-05-07T19:10:57.992459+00:00,PARTIAL_HISTORICAL_PRIOR_LAST_8,7.0,17.0,6.0,8.0,10.0,4.0,0.5,6.0,17.0,6.0,8.0,11.0,5.0,0.5,36.0,2026-05-07T19:10:58.747347+00:00,1.81,4.0,5.25,1.91,1.95,1.3,3.7,1.98,1.96,3.4,1.36,,,,,,13.0,186.0,5841.0,0.5525,0.25,0.1905,0.5236,0.5128,0.7692,0.2703,0.5051,0.5102,0.2941,0.7353,,,,,,2026-05-07T19:10:59.548441+00:00,OK
2026-05-07,UEFA Europa Conference League,848,2025,1540881,NS,Crystal Palace,52,Shakhtar Donetsk,550,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,0.0,,,,,,0.0,,,,,,2024.0,2024.0,CACHE_FREEPLAN_HISTORICAL_PRIOR|CACHE_FREEPLAN_HISTORICAL_PRIOR,2026-05-07T19:10:57.982459+00:00,NO_AVAILABLE_FREEPLAN_DATA,10.0,10.0,5.0,6.0,11.0,6.0,0.0,6.0,13.0,5.0,6.0,10.0,5.0,0.5,36.0,2026-05-07T19:10:58.742971+00:00,1.72,4.14,5.5,1.91,1.91,1.31,3.8,1.96,1.96,3.3,1.36,,,,,,13.0,186.0,5810.0,0.5814,0.2415,0.1818,0.5236,0.5236,0.7634,0.2632,0.5102,0.5102,0.303,0.7353,,,,,,2026-05-07T19:10:59.519587+00:00,OK
2026-05-07,UEFA Europa Conference League,848,2025,1540882,NS,Strasbourg,95,Rayo Vallecano,728,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,0.0,,,,,,0.0,,,,,,2024.0,2024.0,CACHE_FREEPLAN_HISTORICAL_PRIOR|CACHE_FREEPLAN_HISTORICAL_PRIOR,2026-05-07T19:10:57.984844+00:00,NO_AVAILABLE_FREEPLAN_DATA,1.0,16.0,6.0,6.0,11.0,5.0,1.0,5.0,13.0,6.0,6.0,13.0,7.0,1.0,36.0,2026-05-07T19:10:58.744484+00:00,1.99,3.8,4.0,1.73,2.1,1.28,3.9,1.91,2.01,3.25,1.4,,,,,,13.0,186.0,5852.0,0.5025,0.2632,0.25,0.578,0.4762,0.7812,0.2564,0.5236,0.4975,0.3077,0.7143,,,,,,2026-05-07T19:10:59.529858+00:00,OK
2026-05-07,Reserve League,906,2026,1512377,NS,San Martín San Juan Res.,25592,Belgrano Córdoba Res.,20817,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Botola Pro,200,2025,1543120,NS,FAR Rabat,969,Olympique Safi,975,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
